# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,1.049386960524090195e-01
6.716953777539570606e-04,8.688920466168870149e-04,6.716486083247548856e-04,1.048386467217103935e-01
6.726620663623781356e-04,1.064013812982489426e-03,6.724768249923160834e-04,1.047425977462190794e-01
6.738224683355049536e-04,1.256324451635926209e-03,6.734097845927664375e-04,1.046505757849652829e-01
6.751737895953575713e-04,1.445858084493822915e-03,6.744473951073373663e-04,1.045626076668928484e-01
6.767132702559933762e-04,1.632648976162887067e-03,6.755895685693088073e-04,1.044787203920661822e-01
6.784381847661329068e-04,1.816731526943282660e-03,6.768362210944456987e-04,1.043989411329222516e-01
6.803458420379455062e-04,1.998140265818459937e-03,6.781872729047660770e-04,1.043232972355040422e-01
6.824335855758111241e-04,2.176909843460084204e-03,6.796426483594636067e-04,1.042518162207192178e-01
6.846987935918243855e-04,2.353075025217199467e-03,6.812022759797515311e-04,1.041845257856105489e-01
6.871388791177677384e-04,2.526670684130483124e-03,6.828660884773459644e-04,1.041214538046273397e-01
6.897512901095032099e-04,2.697731793943614065e-03,6.846340227825395723e-04,1.040626283309131761e-01
6.925335095440242209e-04,2.866293422132626389e-03,6.865060200720873602e-04,1.040080775976039984e-01
6.954830555102600124e-04,3.032390722951472384e-03,6.884820257979931083e-04,1.039578300191358329e-01
6.985974812913616026e-04,3.196058930496459283e-03,6.905619897148993543e-04,1.039119141925631817e-01
7.018743754418462410e-04,3.357333351796221166e-03,6.927458659094450945e-04,1.038703588988942883e-01
7.053113618565166713e-04,3.516249359925005535e-03,6.950336128284788926e-04,1.038331931044190748e-01
7.089060998339340126e-04,3.672842387146380005e-03,6.974251933088834385e-04,1.038004459620773812e-01
7.126562841316793273e-04,3.827147918092688172e-03,6.999205746062148572e-04,1.037721468128074420e-01
7.165596450144135930e-04,3.979201482970928794e-03,7.025197284231335252e-04,1.037483251869303347e-01
7.206139482980922261e-04,4.129038650823924073e-03,7.052226309409478488e-04,1.037290108055295423e-01
7.248169953837480623e-04,4.276695022809695601e-03,7.080292628476470701e-04,1.037142335818501682e-01
7.291666232871907988e-04,4.422206225552338665e-03,7.109396093687260021e-04,1.037040236227096957e-01
7.336607046600765111e-04,4.565607904513546700e-03,7.139536602962153009e-04,1.036984112299147442e-01
7.382971478074675008e-04,4.706935717436078193e-03,7.170714100209863535e-04,1.036974269016947003e-01
7.430738966940968150e-04,4.846225327824749129e-03,7.202928575604994809e-04,1.037011013341473387e-01
7.479889309498513822e-04,4.983512398492262463e-03,7.236180065924509601e-04,1.037094654226959900e-01
7.530402658633960364e-04,5.118832585154997616e-03,7.270468654831915888e-04,1.037225502635507057e-01
7.582259523731319211e-04,5.252221530103629021e-03,7.305794473200491381e-04,1.037403871551993984e-01
7.635440770506964504e-04,5.383714855912158370e-03,7.342157699427035366e-04,1.037630075998887680e-01
7.689927620779977383e-04,5.513348159240649693e-03,7.379558559745418890e-04,1.037904433051394237e-01
7.745701652173242295e-04,5.641157004681485176e-03,7.417997328534772479e-04,1.038227261852623373e-01
7.802744797772436132e-04,5.767176918694216781e-03,7.457474328648595711e-04,1.038598883628797376e-01
7.861039345719142337e-04,5.891443383597705363e-03,7.497989931740645618e-04,1.039019621704811991e-01
7.920567938729387077e-04,6.013991831645526531e-03,7.539544558577784307e-04,1.039489801519793977e-01
7.981313573557607521e-04,6.134857639175983479e-03,7.582138679359410943e-04,1.040009750642598707e-01
