# error_dp, error_pinn
4.264956932713493548e-02,4.312989077275049959e-02
4.218038402094921591e-02,4.218039851740039425e-02
4.218037402681252407e-02,4.218037408322238002e-02
4.218037865474028036e-02,4.218033065075686011e-02
4.218033341331261371e-02,4.218024796660619496e-02
4.218022063021471812e-02,4.327545254517857487e-02
4.218020108752629227e-02,4.368341800069615311e-02
4.218020018630822682e-02,5.145637235642801233e-02
4.218020552368058340e-02,3.782095037349138961e-02
4.218018901742172366e-02,1.528286511490047246e-02
4.218068527968038550e-02,1.270712075744458158e-02
4.218291978048035323e-02,6.074257379296576359e-03
3.345786014041569195e-02,2.422431067926762802e-03
2.073516789569370550e-02,2.256180673107904041e-03
1.937860545154803174e-02,2.045504486590037866e-03
1.841175952114585887e-02,3.375026499040157009e-03
1.475174812165700768e-02,7.008107203062689458e-03
1.283635315582036876e-02,6.171300934359556095e-03
9.852720942568411050e-03,6.523893472769182536e-03
1.015328213248449345e-02,7.366717444068996042e-03
5.168578329439998779e-03,8.175026946208098153e-03
2.885065725044592966e-03,8.662393101394872535e-03
2.893855783403183335e-03,7.647712183301839071e-03
3.009015290876446494e-03,3.488856077176590020e-03
4.386674160081253070e-03,2.041671874051232110e-03
8.276306877719678823e-03,1.727667038259772742e-03
1.703269682724219830e-02,1.963807106559761154e-03
1.641430891397763908e-02,1.616163024849088170e-03
1.503381902029712891e-02,1.507828341595997485e-03
1.407814905618530975e-02,1.460459386835557833e-03
1.296452688215930966e-02,1.844220191968797993e-03
1.540407180998376938e-02,1.998438371167751432e-03
1.753303714818850792e-02,1.677881171431283222e-03
1.863153467882963654e-02,1.261069825392131458e-03
1.952193196338884718e-02,2.056177961982509454e-03
1.939233893148072790e-02,3.297865663142879235e-03
1.841339918865431829e-02,2.812988670451667481e-03
1.868432338519431662e-02,3.125492325987997994e-03
1.054998379387124714e-02,3.627752481458655642e-03
8.841973789362071734e-03,4.274275239421667510e-03
6.549882404094556354e-03,5.019413633464571943e-03
4.157522794766319897e-03,6.767214111734382725e-03
1.847173740356131784e-03,6.566221398494466281e-03
8.873843167065383411e-04,7.364955183563258630e-03
1.079532304249754097e-03,7.262810105890696137e-03
9.318557038995358690e-04,5.280699509263545206e-03
1.092082180481676124e-03,2.279428635762558060e-03
1.201694680674960953e-03,1.678091058086680258e-03
1.255005364805383827e-03,3.655071726528735798e-03
1.256369468171589839e-03,2.140718402823820962e-03
1.156417663390581479e-03,3.253802685409124505e-03
8.648103398381829128e-04,5.758167819574284106e-03
1.289328050416683590e-03,4.394099299788474695e-03
3.266757174683873177e-03,7.337724778233467582e-03
5.761560251589446964e-03,6.827884536044672402e-03
4.599859204012941502e-03,6.252488615663557951e-03
1.997800533897235546e-03,6.904766172536892441e-03
3.435259670876621152e-03,8.100480787797816745e-03
3.226986719824353166e-03,8.341240386088001613e-03
1.791674331202241241e-03,8.857927722324547212e-03
1.391168626245505675e-03,8.828363067017673191e-03
3.503447983842893250e-03,8.805585316192781481e-03
4.427665747709455014e-03,8.885886187871007771e-03
6.222437646719675142e-03,9.206400917091983951e-03
6.091229305616862634e-03,1.066159308190872332e-02
6.485246751641989167e-03,1.225493894286331514e-02
1.024275246356187198e-02,1.388122896705851726e-02
9.906286874860706707e-03,1.387623932602801390e-02
1.155567206159558401e-02,1.489623847594966945e-02
1.083930675850415179e-02,1.380151489435661218e-02
1.009406916488960783e-02,1.413902527907118407e-02
1.037118029284925420e-02,1.487653814440883550e-02
1.051163176488793122e-02,1.603368232332088791e-02
1.033238917920349664e-02,1.512024505359938452e-02
9.027045495106500103e-03,1.468873179404306221e-02
8.315239294183932733e-03,1.488629158549883112e-02
7.602766499382026567e-03,1.489428462153984285e-02
6.650996072138679743e-03,1.467378445580010994e-02
6.309377951705708726e-03,1.378802415934306420e-02
6.163729261183929255e-03,1.142181747779529195e-02
5.130532549813146548e-03,9.863044744453697971e-03
4.354919196042657432e-03,6.948613252885190404e-03
3.803827304723188165e-03,5.889617122829171950e-03
3.170445403697761018e-03,5.965583236758006426e-03
2.825201215739654281e-03,4.719835244817988280e-03
2.704339148917140386e-03,4.326897822185579723e-03
1.164027395283558043e-03,3.256685517662482807e-03
1.610757258845152114e-03,2.118862098421804129e-03
2.457670594800258866e-03,5.905875718333151309e-04
3.807849418771870782e-03,3.915416549516370030e-04
4.118658194350196394e-03,4.752399693288107078e-04
4.099633035808106576e-03,5.696833975236928645e-04
3.608915985210063571e-03,6.643753095886109671e-04
3.830281913240907426e-03,5.211690869448543486e-04
3.753166902107168534e-03,5.462215314014932845e-04
3.666612325668165261e-03,6.317102015999316892e-04
3.587487838539893652e-03,8.387958299994300064e-04
3.448041353899472441e-03,1.202279247237582078e-03
3.188033480375493996e-03,1.434946419431287973e-03
2.800237732097158195e-03,1.748401646353171628e-03
1.484236838876758094e-03,2.025738862494796521e-03
1.802481031567298780e-03,2.024047983516694474e-03
1.479471318403684926e-03,1.554411834019237470e-03
7.530005397285678085e-04,1.430105887695663379e-03
5.704469771187545670e-04,1.327269678767057596e-03
6.095279175601665258e-04,1.341658849320525931e-03
4.415315668888738403e-04,1.386451587179846328e-03
6.012289820696410875e-04,1.456818227393795549e-03
8.099631022399415804e-04,1.449038553252240827e-03
9.722839866879635397e-04,1.445097505072442425e-03
1.018785836802823131e-03,1.406538123945657703e-03
7.851402510972839508e-04,1.346398550219968931e-03
1.816940004786902064e-04,1.245761788026500351e-03
4.335535474673661333e-04,1.104645010556700065e-03
7.911747938094408801e-04,9.747083166033328715e-04
8.803271876366739693e-04,9.153373665095229346e-04
7.662255546402218153e-04,9.329778829730913259e-04
6.510265507698136242e-04,9.615894275320904577e-04
6.725335548689667523e-04,8.265523043278536451e-04
7.764283178762790239e-04,6.048332078904426409e-04
8.557273316925973535e-04,3.955794226847334752e-04
9.947001845245328610e-04,1.434414704332780642e-04
9.549838762006980031e-04,1.303688367582839279e-04
8.766212717391385235e-04,3.089603684413656836e-04
5.864856464217568137e-04,2.877921866835862720e-04
4.253260141705597045e-04,2.711507280373935051e-04
2.089692885541125002e-04,3.169914750723825032e-04
1.564297563961855706e-04,3.984512149371660173e-04
1.241571671702013308e-04,4.634697730748649647e-04
1.233450961027549779e-04,4.918099722357519282e-04
2.581884066033558723e-04,4.582428843027942745e-04
2.609185211564621267e-04,3.948361676063240279e-04
7.342828952726837338e-04,3.153336192022674202e-04
9.833415673793969268e-04,1.469970329859316153e-04
1.357103262219295885e-03,1.972502994032331058e-04
1.468226421400067611e-03,4.970591613705386755e-04
1.705422343186667727e-03,6.014301927726334882e-04
1.898954296805667723e-03,6.567243672553087610e-04
2.314456593845302685e-03,6.478565173539944282e-04
2.059191318203508828e-03,6.973841079222205339e-04
2.183897433484375747e-03,9.006748685293952845e-04
2.317773367506826589e-03,1.074043138510516211e-03
2.207573138723211304e-03,1.307659687581762872e-03
2.331371853160350577e-03,1.632425543437691614e-03
2.334092651176092933e-03,1.653288533554144162e-03
2.592144609403699163e-03,1.572200458267912710e-03
3.167488391736503466e-03,1.614742463413249137e-03
3.546248157071712516e-03,1.732221233775677136e-03
4.013482410248556988e-03,1.757950992222686269e-03
4.036777972196686076e-03,1.815212085937091937e-03
4.090242743337696961e-03,1.878384548890063045e-03
3.825042693083235187e-03,1.968269422938432895e-03
3.562635349128080806e-03,2.032592708040962832e-03
3.452276163988312295e-03,2.099501044661276558e-03
3.390622929397128522e-03,2.127692270213124917e-03
3.433716785670707164e-03,2.124015915433124201e-03
3.422907546417418029e-03,2.109847472914518508e-03
3.420538901544751924e-03,2.057947090921819194e-03
3.419316960306465793e-03,1.787762550252306858e-03
3.428278508322508099e-03,1.833921788586933676e-03
3.430283397395809952e-03,1.824873737655390623e-03
3.446857640311349735e-03,1.594538958898618006e-03
3.480810008681849057e-03,1.507200324785716540e-03
3.525354312110909674e-03,1.535964787438128280e-03
3.586733128754234640e-03,1.431769057411752056e-03
3.613835643385477411e-03,1.217204582528529262e-03
3.655853007582086141e-03,1.281267766339639963e-03
3.705022764980585043e-03,1.261183122192789663e-03
3.777497461473505996e-03,1.203074738970157142e-03
3.842743803180716840e-03,1.227934648793150684e-03
3.895040412190253938e-03,1.245786575133419000e-03
3.880286604062542326e-03,1.282528149527698610e-03
3.982972757549476696e-03,1.328695394909075672e-03
3.922491519178879747e-03,1.413755783245875756e-03
3.939212725991030409e-03,1.369390856999381893e-03
4.054140707981668430e-03,1.402564657817211968e-03
4.030214549201502697e-03,1.395271161255172638e-03
4.055888296827524046e-03,1.392143139162751618e-03
4.129654978121065877e-03,1.416977954771227611e-03
4.244453146593289185e-03,1.425593345181418777e-03
4.236994974175326348e-03,1.451465283052311714e-03
4.258201190601781407e-03,1.513455296153868061e-03
4.279813342517072364e-03,1.503196189619246349e-03
4.296395273501040120e-03,1.524452975146116992e-03
4.279366647322171285e-03,1.574152719709857569e-03
4.278664224621214589e-03,1.648403644496206728e-03
4.270631551787389645e-03,1.591063585620119437e-03
4.266300526088086069e-03,1.616732524467366519e-03
4.271570283937850369e-03,1.635236575234034432e-03
4.301420948743053981e-03,1.564523887922284265e-03
4.265240119516835668e-03,1.561340284603087878e-03
4.371243245516171112e-03,1.561238262878393915e-03
4.444618264128790026e-03,1.552682136824380926e-03
4.565865529470322301e-03,1.551024613298639977e-03
4.598120814063495244e-03,1.457124588516439103e-03
4.633537097528539137e-03,1.473866324212924411e-03
4.652273512179692927e-03,1.461149939564982368e-03
4.764641854409760839e-03,1.399733879031533554e-03
4.735139735988668636e-03,1.366648702948030552e-03
4.817793258855920975e-03,1.262770919625945138e-03
4.863353049163300114e-03,1.139519725016349553e-03
4.962933390972703099e-03,1.009496757056972801e-03
5.117501853320532285e-03,9.907668183755625416e-04
5.616786749348500266e-03,8.379844956189447074e-04
5.527776588024256761e-03,8.445795928853963011e-04
5.495504359422195145e-03,7.695204800672871296e-04
5.480979641360827700e-03,6.418287792356493085e-04
5.703676933822772119e-03,5.844742487666835509e-04
5.593339600726225831e-03,6.308502119891817080e-04
5.690800695669050342e-03,5.892019654816368305e-04
5.775939606394076345e-03,5.978105205629114047e-04
5.845815097183675903e-03,5.969182240667037691e-04
5.849037737913331640e-03,5.269576261326303253e-04
5.971246117814512852e-03,4.273802684146003786e-04
5.987667864488017966e-03,4.105845107445319788e-04
6.057955992393688344e-03,4.422896308876097930e-04
6.151897921846593772e-03,4.141054157465407165e-04
6.198100977890849683e-03,3.764330056333126833e-04
6.271370035444028858e-03,3.192317486952150440e-04
6.458106392233179012e-03,3.275204286265293247e-04
6.524562139458249879e-03,3.228306995799650001e-04
6.732241748992286515e-03,3.188312167485861446e-04
6.778514719961622678e-03,3.414757340543873084e-04
6.874390084297152780e-03,4.129399606957575089e-04
6.918392669804577025e-03,4.011813887344931832e-04
7.064376475136771756e-03,4.158320595835254363e-04
7.135923164022648507e-03,4.621717084063110327e-04
7.289074286954885622e-03,4.737127052524508879e-04
7.375462597276030881e-03,5.351456836031479383e-04
7.558390191758463175e-03,5.647739230442244641e-04
7.503998752298944933e-03,6.169026981897309751e-04
7.523201847127529776e-03,6.370406027427502008e-04
7.641115981640873162e-03,7.702110280923036862e-04
7.629778719385657201e-03,6.983405128964839496e-04
7.919384763494284954e-03,7.161841525587298897e-04
7.926393964991668498e-03,7.647434576613044901e-04
8.040708944052035040e-03,8.007829916915800827e-04
8.004297926675861541e-03,8.698375427998780024e-04
8.040420622824825947e-03,8.516404624657803769e-04
8.205183744817530142e-03,8.688554119991031026e-04
8.148005691516585144e-03,9.059098549200489143e-04
8.190824487682733801e-03,9.120585849428221401e-04
8.300608385017827634e-03,9.233272102921200259e-04
8.278376425708897438e-03,9.419151611437318050e-04
8.484813629400313889e-03,9.681875309259247711e-04
8.482550971142942264e-03,9.989452448511009809e-04
8.565233534982065813e-03,1.018007624257125402e-03
8.708818579752888173e-03,1.053444105518360277e-03
8.683005501914574722e-03,1.053123275448686206e-03
8.713552711725532085e-03,1.067430407775020853e-03
8.789170147568725264e-03,1.128747318305465793e-03
8.784900255947853190e-03,1.148508590054177084e-03
8.838169492976232638e-03,1.219456104648941478e-03
8.904141382197023127e-03,1.206522944227730312e-03
8.922745088485077927e-03,1.290677541029623286e-03
8.945085318031063479e-03,1.252805421923529382e-03
8.951923910602312823e-03,1.245824302349334564e-03
8.958784847829418668e-03,1.267328822021345164e-03
8.962264057086690577e-03,1.268653368863183716e-03
8.946780437557564497e-03,1.300203066551904171e-03
8.881084558605858645e-03,1.347537729767886525e-03
8.851653357487155455e-03,1.327885245837292149e-03
8.838820005127421761e-03,1.405083030447150556e-03
