# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,1.124316777289167124e-01
6.716689042442605716e-04,8.163027336902661801e-04,6.716523228732358642e-04,1.121403942519579866e-01
6.725575985220711567e-04,9.609675403603468169e-04,6.724915559768603578e-04,1.118547917509127299e-01
6.735906037878394486e-04,1.104925737971607091e-03,6.734426443475247798e-04,1.115748980106668897e-01
6.747672165250139008e-04,1.248183518726575514e-03,6.745053080947675198e-04,1.113007408973590850e-01
6.760867394347531241e-04,1.390747129474290134e-03,6.756792730629528846e-04,1.110323483591985072e-01
6.775484814940619998e-04,1.532622871821764932e-03,6.769642708626536550e-04,1.107697484273312272e-01
6.791517580071906694e-04,1.673817102224361975e-03,6.783600388952792807e-04,1.105129692166995081e-01
6.808958906641148813e-04,1.814336232095037360e-03,6.798663203847668925e-04,1.102620389269217682e-01
6.827802075928618647e-04,1.954186727895823594e-03,6.814828644031036388e-04,1.100169858432037406e-01
6.848040434153970487e-04,2.093375111240414199e-03,6.832094258993984823e-04,1.097778383372282063e-01
6.869667393030209381e-04,2.231907958986312224e-03,6.850457657284529872e-04,1.095446248680996826e-01
6.892676430314942891e-04,2.369791903330531468e-03,6.869916506790528163e-04,1.093173739832827840e-01
6.917061090369762194e-04,2.507033631902633175e-03,6.890468535030690178e-04,1.090961143195596783e-01
6.942814984704784786e-04,2.643639887856430448e-03,6.912111529430694026e-04,1.088808746040044184e-01
6.969931792541947391e-04,2.779617469957473830e-03,6.934843337618074336e-04,1.086716836549821430e-01
6.998405261365901004e-04,2.914973232675643899e-03,6.958661867704712218e-04,1.084685703831409498e-01
7.028229207490055506e-04,3.049714086268195956e-03,6.983565088584542000e-04,1.082715637924549501e-01
7.059397516609753698e-04,3.183846996869466039e-03,7.009551030218435109e-04,1.080806929812503370e-01
7.091904144352358629e-04,3.317378986568586541e-03,7.036617783916098053e-04,1.078959871432674245e-01
7.125743116857371140e-04,3.450317133502744937e-03,7.064763502648133998e-04,1.077174755687413388e-01
7.160908531320388194e-04,3.582668571926017620e-03,7.093986401322068718e-04,1.075451876454818212e-01
7.197394556563842076e-04,3.714440492301518404e-03,7.124284757085329800e-04,1.073791528599902234e-01
7.235195433588661974e-04,3.845640141368233955e-03,7.155656909609371587e-04,1.072194007985884934e-01
7.274305476157516201e-04,3.976274822229397543e-03,7.188101261405547724e-04,1.070659611485592633e-01
7.314719071331239652e-04,4.106351894418214243e-03,7.221616278094480099e-04,1.069188636993028130e-01
7.356430680063116455e-04,4.235878773978241085e-03,7.256200488733483564e-04,1.067781383435340015e-01
7.399434837739502207e-04,4.364862933533553147e-03,7.291852486090707542e-04,1.066438150784629890e-01
7.443726154758296791e-04,4.493311902364460764e-03,7.328570926957371067e-04,1.065159240070252533e-01
7.489299317096568664e-04,4.621233266467683620e-03,7.366354532449565645e-04,1.063944953391099402e-01
7.536149086876671021e-04,4.748634668637397027e-03,7.405202088308886080e-04,1.062795593928189675e-01
7.584270302925562183e-04,4.875523808521631253e-03,7.445112445196693787e-04,1.061711465957396738e-01
7.633657881353752206e-04,5.001908442695546242e-03,7.486084519008415076e-04,1.060692874862380064e-01
7.684306816129460576e-04,5.127796384722271839e-03,7.528117291183521057e-04,1.059740127147700273e-01
7.736212179638380032e-04,5.253195505215524364e-03,7.571209809001599404e-04,1.058853530452206204e-01
7.789369123248493856e-04,5.378113731903555461e-03,7.615361185883973974e-04,1.058033393562383129e-01
7.843772877904845332e-04,5.502559049688215964e-03,7.660570601725863156e-04,1.057280026426344888e-01
7.899418754679634821e-04,5.626539500703131580e-03,7.706837303184321201e-04,1.056593740167485196e-01
7.956302145355729789e-04,5.750063184372322667e-03,7.754160604000337334e-04,1.055974847098778424e-01
8.014418522993582185e-04,5.873138257465715384e-03,7.802539885304826889e-04,1.055423660737028202e-01
8.073763442510138201e-04,5.995772934156873291e-03,7.851974595937368309e-04,1.054940495817493495e-01
8.134332541253174852e-04,6.117975486070958979e-03,7.902464252760927526e-04,1.054525668308491371e-01
8.196121539574997969e-04,6.239754242341355450e-03,7.954008440976795919e-04,1.054179495426539326e-01
8.259126241397106612e-04,6.361117589660514327e-03,8.006606814431086686e-04,1.053902295651398813e-01
8.323342534810648091e-04,6.482073972329027711e-03,8.060259095957846877e-04,1.053694388741572840e-01
8.388766392629629955e-04,6.602631892302479599e-03,8.114965077675741732e-04,1.053556095749775823e-01
8.455393872974200156e-04,6.722799909238075244e-03,8.170724621315558550e-04,1.053487739038934112e-01
8.523221119856909866e-04,6.842586640547487775e-03,8.227537658551559467e-04,1.053489642298113260e-01
8.592244363743847726e-04,6.962000761429720797e-03,8.285404191308645694e-04,1.053562130558867160e-01
8.662459922152182697e-04,7.081051004927507719e-03,8.344324292106691451e-04,1.053705530211702657e-01
8.733864200214630068e-04,7.199746161959286184e-03,8.404298104372902615e-04,1.053920169022878328e-01
8.806453691260086175e-04,7.318095081364939247e-03,8.465325842771158306e-04,1.054206376151237690e-01
8.880224977399183220e-04,7.436106669944431147e-03,8.527407793537347029e-04,1.054564482165594175e-01
8.955174730098450220e-04,7.553789892497109193e-03,8.590544314804273883e-04,1.054994819061972899e-01
9.031299710764433431e-04,7.671153771860783621e-03,8.654735836937651550e-04,1.055497720281453056e-01
9.108596771323498398e-04,7.788207388944368148e-03,8.719982862868709680e-04,1.056073520727964787e-01
9.187062854793151372e-04,7.904959882764073242e-03,8.786285968419610577e-04,1.056722556786445777e-01
9.266694995882126780e-04,8.021420450480043485e-03,8.853645802658577455e-04,1.057445166341299814e-01
9.347490321561590472e-04,8.137598347429886303e-03,8.922063088227488292e-04,1.058241688795041879e-01
9.429446051634775196e-04,8.253502887154873235e-03,8.991538621668902645e-04,1.059112465087066468e-01
9.512559499345733024e-04,8.369143441439019782e-03,9.062073273793575835e-04,1.060057837712944373e-01
9.596828071938425875e-04,8.484529440330845773e-03,9.133667989999487598e-04,1.061078150743689497e-01
9.682249271256543029e-04,8.599670372180012734e-03,9.206323790632971399e-04,1.062173749845533033e-01
9.768820694310189744e-04,8.714575783661304698e-03,9.280041771317816416e-04,1.063344982299676555e-01
9.856540033871248694e-04,8.829255279799053113e-03,9.354823103314637185e-04,1.064592197022584674e-01
9.945405079056720849e-04,8.943718523998667180e-03,9.430669033869431596e-04,1.065915744586339864e-01
