# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,2.112194569659124888e-01
6.717019134900959832e-04,8.825886400314342239e-04,6.717019134900959832e-04,2.121081470653040091e-01
6.726907048332036142e-04,1.095142847328922642e-03,6.726907048332036142e-04,2.130009558596084318e-01
6.738924974768372225e-04,1.308591932179803408e-03,6.738924974768372225e-04,2.138979059473712363e-01
6.753081883739364645e-04,1.522940047234744299e-03,6.753081883739364645e-04,2.147990200696919816e-01
6.769386786396789334e-04,1.738191367957275801e-03,6.769386786396789334e-04,2.157043211112117387e-01
6.787848735778003600e-04,1.954350092771228731e-03,6.787848735778003600e-04,2.166138321011499279e-01
6.808476827002204069e-04,2.171420443198845973e-03,6.808476827002204069e-04,2.175275762143202840e-01
6.831280197537935132e-04,2.389406664012883041e-03,6.831280197537935132e-04,2.184455767721670272e-01
6.856268027409529722e-04,2.608313023380048890e-03,6.856268027409529722e-04,2.193678572438191310e-01
6.883449539439671352e-04,2.828143813009331708e-03,6.883449539439671352e-04,2.202944412471221636e-01
6.912833999487555392e-04,3.048903348306097882e-03,6.912833999487555392e-04,2.212253525497113182e-01
6.944430716684904699e-04,3.270595968513534402e-03,6.944430716684904699e-04,2.221606150700782267e-01
6.978249043680668628e-04,3.493226036873631202e-03,6.978249043680668628e-04,2.231002528786395489e-01
7.014298376871502729e-04,3.716797940772842423e-03,7.014298376871502729e-04,2.240442901988296542e-01
7.052588156651589529e-04,3.941316091899293994e-03,7.052588156651589529e-04,2.249927514081936364e-01
7.093127867650756433e-04,4.166784926394884181e-03,7.093127867650756433e-04,2.259456610394759979e-01
7.135927038988364429e-04,4.393208905012935261e-03,7.135927038988364429e-04,2.269030437817515233e-01
7.180995244515075418e-04,4.620592513276067237e-03,7.180995244515075418e-04,2.278649244815291741e-01
7.228342103052212610e-04,4.848940261628742476e-03,7.228342103052212610e-04,2.288313281438857372e-01
7.277977278661949129e-04,5.078256685604465304e-03,7.277977278661949129e-04,2.298022799336035815e-01
7.329910480882059461e-04,5.308546345978104597e-03,7.329910480882059461e-04,2.307778051763115235e-01
7.384151464988310482e-04,5.539813828935091777e-03,7.384151464988310482e-04,2.317579293596470080e-01
7.440710032238555477e-04,5.772063746225741809e-03,7.440710032238555477e-04,2.327426781344147377e-01
7.499596030149285929e-04,6.005300735337559814e-03,7.499596030149285929e-04,2.337320773157649523e-01
7.560819352726266254e-04,6.239529459652004562e-03,7.560819352726266254e-04,2.347261528843682665e-01
7.624389940753869416e-04,6.474754608616350993e-03,7.624389940753869416e-04,2.357249309876198184e-01
7.690317782031753924e-04,6.710980897908003229e-03,7.690317782031753924e-04,2.367284379408278738e-01
7.758612911650325994e-04,6.948213069607245274e-03,7.758612911650325994e-04,2.377367002284365149e-01
7.829285412256291017e-04,7.186455892359555619e-03,7.829285412256291017e-04,2.387497445052353395e-01
7.902345414317786532e-04,7.425714161554575199e-03,7.902345414317786532e-04,2.397675975975995799e-01
7.977803096383696271e-04,7.665992699491308571e-03,7.977803096383696271e-04,2.407902865047250041e-01
8.055668685363701759e-04,7.907296355557758005e-03,8.055668685363701759e-04,2.418178383998800252e-01
8.135952456804551114e-04,8.149630006401675786e-03,8.135952456804551114e-04,2.428502806316638063e-01
8.218664735153174321e-04,8.392998556106645580e-03,8.218664735153174321e-04,2.438876407252841272e-01
8.303815894025884121e-04,8.637406936371272437e-03,8.303815894025884121e-04,2.449299463838205959e-01
8.391416356508767235e-04,8.882860106687928692e-03,8.391416356508767235e-04,2.459772254895385979e-01
8.481476595414536197e-04,9.129363054519057386e-03,8.481476595414536197e-04,2.470295061051694940e-01
8.574007133574116854e-04,9.376920795481469284e-03,8.574007133574116854e-04,2.480868164752345617e-01
8.669018544112733942e-04,9.625538373527531277e-03,8.669018544112733942e-04,2.491491850273600539e-01
8.766521450739491730e-04,9.875220861131683847e-03,8.766521450739491730e-04,2.502166403736169054e-01
8.866526528033383302e-04,1.012597335947029720e-02,8.866526528033383302e-04,2.512892113118505577e-01
8.969044501730327659e-04,1.037780099861218552e-02,8.969044501730327659e-04,2.523669268270547494e-01
9.074086149002232515e-04,1.063070893770534653e-02,9.074086149002232515e-04,2.534498160927146637e-01
9.181662298773403527e-04,1.088470236516636547e-02,9.181662298773403527e-04,2.545379084722023677e-01
9.291783831991075500e-04,1.113978649887115147e-02,9.291783831991075500e-04,2.556312335201466057e-01
9.404461681927458105e-04,1.139596658634323134e-02,9.404461681927458105e-04,2.567298209838428935e-01
9.519706834486103223e-04,1.165324790495625429e-02,9.519706834486103223e-04,2.578337008046556189e-01
9.637530328484922911e-04,1.191163576211540231e-02,9.637530328484922911e-04,2.589429031194449005e-01
9.757943255976731607e-04,1.217113549546788853e-02,9.757943255976731607e-04,2.600574582619893382e-01
9.880956762538660888e-04,1.243175247309036280e-02,9.880956762538660888e-04,2.611773967644444028e-01
1.000658204757896158e-03,1.269349209369230458e-02,1.000658204757896158e-03,2.623027493587772874e-01
1.013483036465057888e-03,1.295635978681430878e-02,1.013483036465057888e-03,2.634335469782528305e-01
1.026571302175477342e-03,1.322036101303325495e-02,1.026571302175477342e-03,2.645698207589020079e-01
1.039924138165651026e-03,1.348550126416325767e-02,1.039924138165651026e-03,2.657116020410155155e-01
1.053542686219696928e-03,1.375178606346283416e-02,1.053542686219696928e-03,2.668589223706481217e-01
1.067428093659963939e-03,1.401922096583652078e-02,1.067428093659963939e-03,2.680118135011287928e-01
1.081581513380643414e-03,1.428781155804892400e-02,1.081581513380643414e-03,2.691703073945924674e-01
1.096004103878714039e-03,1.455756345893499670e-02,1.096004103878714039e-03,2.703344362235223786e-01
1.110697029284873254e-03,1.482848231960054441e-02,1.110697029284873254e-03,2.715042323722927087e-01
1.125661459398578663e-03,1.510057382364959899e-02,1.125661459398578663e-03,2.726797284387423304e-01
1.140898569718300747e-03,1.537384368738581308e-02,1.140898569718300747e-03,2.738609572357491029e-01
1.156409541476036270e-03,1.564829766003805744e-02,1.156409541476036270e-03,2.750479517928208217e-01
1.172195561668687479e-03,1.592394152397269558e-02,1.172195561668687479e-03,2.762407453576964933e-01
1.188257823092520428e-03,1.620078109491052132e-02,1.188257823092520428e-03,2.774393713979633747e-01
1.204597524376585082e-03,1.647882222215346637e-02,1.204597524376585082e-03,2.786438636026901117e-01
1.221215870016383910e-03,1.675807078880531265e-02,1.221215870016383910e-03,2.798542558840667605e-01
1.238114070406168537e-03,1.703853271199062824e-02,1.238114070406168537e-03,2.810705823790586866e-01
1.255293341875884580e-03,1.732021394308613793e-02,1.255293341875884580e-03,2.822928774510816696e-01
1.272754906723164072e-03,1.760312046794609842e-02,1.272754906723164072e-03,2.835211756916767856e-01
1.290499993249438065e-03,1.788725830712967202e-02,1.290499993249438065e-03,2.847555119222209274e-01
1.308529835793666597e-03,1.817263351613562783e-02,1.308529835793666597e-03,2.859959211956231151e-01
1.326845674768047535e-03,1.845925218562838310e-02,1.326845674768047535e-03,2.872424387980641036e-01
