# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,9.842240309139804744e-02
6.716715671503547700e-04,8.215682608756491589e-04,6.716453610220856100e-04,9.838732156322638200e-02
6.725680102481737446e-04,9.711406074888184747e-04,6.724638790300167335e-04,9.835585876427344054e-02
6.736134959663406859e-04,1.119655757058080070e-03,6.733807531998394196e-04,9.832803878999263336e-02
6.748069738695115262e-04,1.267127228004705231e-03,6.743959557145583249e-04,9.830388590806871107e-02
6.761474070297871430e-04,1.413568520443053700e-03,6.755094624224765310e-04,9.828342455972693958e-02
6.776337720119359007e-04,1.558993116371976129e-03,6.767212528650723338e-04,9.826667936109845236e-02
6.792650588519665630e-04,1.703414479858667008e-03,6.780313102982113340e-04,9.825367510455729203e-02
6.810402710428725519e-04,1.846846057238504812e-03,6.794396217205157795e-04,9.824443676009331217e-02
6.829584255143147584e-04,1.989301277301569471e-03,6.809461778956567377e-04,9.823898947669695847e-02
6.850185526159650526e-04,2.130793551492926596e-03,6.825509733782900547e-04,9.823735858372739660e-02
6.872196961004570963e-04,2.271336274110913322e-03,6.842540065395843292e-04,9.823956959232227337e-02
6.895609131061721398e-04,2.410942822504313909e-03,6.860552795925655475e-04,9.824564819680958738e-02
6.920412741409444389e-04,2.549626557278195094e-03,6.879547986183639921e-04,9.825562027611900451e-02
6.946598630643939639e-04,2.687400822495966679e-03,6.899525735910687092e-04,9.826951189522059593e-02
6.974157770722479686e-04,2.824278945884550751e-03,6.920486184045540308e-04,9.828734930656890523e-02
7.003081266795410610e-04,2.960274239044657918e-03,6.942429508981628073e-04,9.830915895154823669e-02
7.033360357054520935e-04,3.095399997659287195e-03,6.965355928840074847e-04,9.833496746195558025e-02
7.064986412569778133e-04,3.229669501708221091e-03,6.989265701730865837e-04,9.836480166146122084e-02
7.097950937124259925e-04,3.363096015676081407e-03,7.014159126012001677e-04,9.839868856711064815e-02
7.132245567080446134e-04,3.495692788777926552e-03,7.040036540579792468e-04,9.843665539082535609e-02
7.167862071211680538e-04,3.627473055167307336e-03,7.066898325124091988e-04,9.847872954090852726e-02
7.204792350561815481e-04,3.758450034166971321e-03,7.094744900411499968e-04,9.852493862358080445e-02
7.243028438287194828e-04,3.888636930478472920e-03,7.123576728550662027e-04,9.857531044451417479e-02
7.282562499531659546e-04,4.018046934420427263e-03,7.153394313290361304e-04,9.862987301038528276e-02
7.323386831256262913e-04,4.146693222142339152e-03,7.184198200272056247e-04,9.868865453043129676e-02
7.365493862128299173e-04,4.274588955859970341e-03,7.215988977341526939e-04,9.875168341803697292e-02
7.408876152358311084e-04,4.401747284082713207e-03,7.248767274808203247e-04,9.881898829231094972e-02
7.453526393576468106e-04,4.528181341850956443e-03,7.282533765743637007e-04,9.889059797969657062e-02
7.499437408699767896e-04,4.653904250961016231e-03,7.317289166270529721e-04,9.896654151557793266e-02
7.546602151799358150e-04,4.778929120211161674e-03,7.353034235851617145e-04,9.904684814591047104e-02
7.595013707962804984e-04,4.903269045632319134e-03,7.389769777573223933e-04,9.913154732886098053e-02
7.644665293177659374e-04,5.026937110735651970e-03,7.427496638449847472e-04,9.922066873645674079e-02
7.695550254212040961e-04,5.149946386749260085e-03,7.466215709725501030e-04,9.931424225625773428e-02
7.747662068482608251e-04,5.272309932865981708e-03,7.505927927162134305e-04,9.941229799302986336e-02
7.800994343929422165e-04,5.394040796488974721e-03,7.546634271334675195e-04,9.951486627043770739e-02
7.855540818922645023e-04,5.515152013481960935e-03,7.588335767957618593e-04,9.962197763275970619e-02
7.911295362126407032e-04,5.635656608417249913e-03,7.631033488168500805e-04,9.973366284659668235e-02
7.968251972398129445e-04,5.755567594830424127e-03,7.674728548846508625e-04,9.984995290261211576e-02
8.026404778673086301e-04,5.874897975475468215e-03,7.719422112916062440e-04,9.997087901727663706e-02
8.085748039863141024e-04,5.993660742583228895e-03,7.765115389664231605e-04,1.000964726346383893e-01
8.146276144752722650e-04,6.111868878116766268e-03,7.811809635055144392e-04,1.002267654280811771e-01
8.207983611896482561e-04,6.229535354034698713e-03,7.859506152045683813e-04,1.003617893021353513e-01
8.270865089509836683e-04,6.346673132557656416e-03,7.908206290893817370e-04,1.005015763942650464e-01
8.334915355397500307e-04,6.463295166428739691e-03,7.957911449504627768e-04,1.006461590767045999e-01
8.400129316837020915e-04,6.579414399185301576e-03,8.008623073730942662e-04,1.007955699582687714e-01
8.466502010494486889e-04,6.695043765422514781e-03,8.060342657705845369e-04,1.009498418862228020e-01
8.534028602345492421e-04,6.810196191077366734e-03,8.113071744180207602e-04,1.011090079481338222e-01
8.602704387573332015e-04,6.924884593687119505e-03,8.166811924836961736e-04,1.012731014737533464e-01
8.672524790505768731e-04,7.039121882680410280e-03,8.221564840643767920e-04,1.014421560369054287e-01
8.743485364521238774e-04,7.152920959645703292e-03,8.277332182174677346e-04,1.016162054574039075e-01
8.815581791973428963e-04,7.266294718615950998e-03,8.334115689949925547e-04,1.017952838029623219e-01
8.888809884123341715e-04,7.379256046350590736e-03,8.391917154782775178e-04,1.019794253911490145e-01
8.963165581062313434e-04,7.491817822620427947e-03,8.450738418117038995e-04,1.021686647913253587e-01
9.038644951647542428e-04,7.603992920496960295e-03,8.510581372376767578e-04,1.023630368266317259e-01
9.115244193435704297e-04,7.715794206639037256e-03,8.571447961313650478e-04,1.025625765759611285e-01
9.192959632610810203e-04,7.827234541583738547e-03,8.633340180348307883e-04,1.027673193759665038e-01
9.271787723943193671e-04,7.938326780043691855e-03,8.696260076942428918e-04,1.029773008230790987e-01
9.351725050722448345e-04,8.049083771203946469e-03,8.760209750944374096e-04,1.031925567755458406e-01
9.432768324691266724e-04,8.159518359013517852e-03,8.825191354935485758e-04,1.034131233554674845e-01
9.514914386021149691e-04,8.269643382496472128e-03,8.891207094617796600e-04,1.036390369508822795e-01
9.598160203241203709e-04,8.379471676042138384e-03,8.958259229154526618e-04,1.038703342178390887e-01
9.682502873210379821e-04,8.489016069724186764e-03,9.026350071553556741e-04,1.041070520825008172e-01
9.767939621059271507e-04,8.598289389596613930e-03,9.095481989020317128e-04,1.043492277432608306e-01
9.854467800163603779e-04,8.707304458010156623e-03,9.165657403341711824e-04,1.045968986728779138e-01
9.942084892108312474e-04,8.816074093921821841e-03,9.236878791260569668e-04,1.048501026206297704e-01
1.003078850665493037e-03,8.924611113213298808e-03,9.309148684852747158e-04,1.051088776144792902e-01
1.012057638169625885e-03,9.032928329000711187e-03,9.382469671891378090e-04,1.053732619632620215e-01
1.021144638325840841e-03,9.141038551960578573e-03,9.456844396257960746e-04,1.056432942588878543e-01
1.030339650545431668e-03,9.248954590648672536e-03,9.532275558304644045e-04,1.059190133785649079e-01
1.039642487047924904e-03,9.356689251824201747e-03,9.608765915258114538e-04,1.062004584870397395e-01
1.049052972858376077e-03,9.464255340776217551e-03,9.686318281600470124e-04,1.064876690388520952e-01
1.058570945806696414e-03,9.571665661651795887e-03,9.764935529470138501e-04,1.067806847806154202e-01
1.068196256526904309e-03,9.678933017789770332e-03,9.844620589061648525e-04,1.070795457533039174e-01
1.077928768454942824e-03,9.786070212050246298e-03,9.925376449010561014e-04,1.073842922945612566e-01
1.087768357831180943e-03,9.893090047157215849e-03,1.000720615682503976e-03,1.076949650410541359e-01
1.097714913697159234e-03,1.000000532603007031e-02,1.009011281925930714e-03,1.080116049307959791e-01
1.107768337898851554e-03,1.010682885212865756e-02,1.017409960275201955e-03,1.083342532055280305e-01
1.117928545085508868e-03,1.021357342979611893e-02,1.025916973381996731e-03,1.086629514131056684e-01
1.128195462710964835e-03,1.032025186460749921e-02,1.034532649947599980e-03,1.089977414099027042e-01
1.138569031036083291e-03,1.042687696371435990e-02,1.043257324765815928e-03,1.093386653632427707e-01
1.149049203129488134e-03,1.053346153619694192e-02,1.052091338764103799e-03,1.096857657538390374e-01
1.159635944870202485e-03,1.064001839342099132e-02,1.061035039046584862e-03,1.100390853782673428e-01
1.170329234949262854e-03,1.074656034939081017e-02,1.070088778936011033e-03,1.103986673514412153e-01
1.181129064873878785e-03,1.085310022111141137e-02,1.079252918018196129e-03,1.107645551091299696e-01
1.192035438969977915e-03,1.095965082894578835e-02,1.088527822184836864e-03,1.111367924104703642e-01
1.203048374385242824e-03,1.106622499698373119e-02,1.097913863676756689e-03,1.115154233405271089e-01
1.214167901093415099e-03,1.117283555340686796e-02,1.107411421128393428e-03,1.119004923128463780e-01
1.225394061898889102e-03,1.127949533085770284e-02,1.117020879612520010e-03,1.122920440720523994e-01
1.236726912441157844e-03,1.138621716681309515e-02,1.126742630684798895e-03,1.126901236964499287e-01
1.248166521199764976e-03,1.149301390395729427e-02,1.136577072428782966e-03,1.130947766006514810e-01
1.259712969498934330e-03,1.159989839056230210e-02,1.146524609500574037e-03,1.135060485382393125e-01
1.271366351515245633e-03,1.170688348086801334e-02,1.156585653176462909e-03,1.139239856044202970e-01
1.283126774281938146e-03,1.181398203546302206e-02,1.166760621397173493e-03,1.143486342387330934e-01
1.294994357696663571e-03,1.192120692167453200e-02,1.177049938815513935e-03,1.147800412277540927e-01
1.306969234527236012e-03,1.202857101395138351e-02,1.187454036841985305e-03,1.152182537078415558e-01
1.319051550420361971e-03,1.213608719426462201e-02,1.197973353693321773e-03,1.156633191678845263e-01
1.331241463908086359e-03,1.224376835249207929e-02,1.208608334438723798e-03,1.161152854520979272e-01
1.343539146417353650e-03,1.235162738682449302e-02,1.219359431049126018e-03,1.165742007628054466e-01
1.355944782276302966e-03,1.245967720415919189e-02,1.230227102443221844e-03,1.170401136632933659e-01
1.368458568725089723e-03,1.256793072050665927e-02,1.241211814537909004e-03,1.175130730806285273e-01
1.381080715925211066e-03,1.267640086139887323e-02,1.252314040297243004e-03,1.179931283085580151e-01
1.393811446967909307e-03,1.278510056229142933e-02,1.263534259780402669e-03,1.184803290103819684e-01
1.406650997885040399e-03,1.289404276898409307e-02,1.274872960192098819e-03,1.189747252218940066e-01
1.419599617659970166e-03,1.300324043803047225e-02,1.286330635932939580e-03,1.194763673542973414e-01
1.432657568237592771e-03,1.311270653715479462e-02,1.297907788648920095e-03,1.199853061971953849e-01
1.445825124537028451e-03,1.322245404568089810e-02,1.309604927283513232e-03,1.205015929215602632e-01
1.459102574462515199e-03,1.333249595494878648e-02,1.321422568127925395e-03,1.210252790827734959e-01
1.472490218915060252e-03,1.344284526874361951e-02,1.333361234872072233e-03,1.215564166236295929e-01
1.485988371806824413e-03,1.355351500373180862e-02,1.345421458658246656e-03,1.220950578774249173e-01
1.499597360073036791e-03,1.366451818988512201e-02,1.357603778132277124e-03,1.226412555710365559e-01
1.513317523684871210e-03,1.377586787092544007e-02,1.369908739495591041e-03,1.231950628280276128e-01
1.527149215665329560e-03,1.388757710476329343e-02,1.382336896560269236e-03,1.237565331718037953e-01
1.541092802102543655e-03,1.399965896393640108e-02,1.394888810801451530e-03,1.243257205287597866e-01
1.555148662164275355e-03,1.411212653606375156e-02,1.407565051410915400e-03,1.249026792314680279e-01
1.569317188113209666e-03,1.422499292428769380e-02,1.420366195351400801e-03,1.254874640218994752e-01
1.583598785324266201e-03,1.433827124773379147e-02,1.433292827412895867e-03,1.260801300546654513e-01
1.597993872298546572e-03,1.445197464196246173e-02,1.446345540265563112e-03,1.266807329002699323e-01
1.612502880682279739e-03,1.456611625943105004e-02,1.459524934517553206e-03,1.272893285484306691e-01
1.627126255281853172e-03,1.468070926995812542e-02,1.472831618768921050e-03,1.279059734113587865e-01
1.641864454082644573e-03,1.479576686118533324e-02,1.486266209669267384e-03,1.285307243271383015e-01
1.656717948266075080e-03,1.491130223905257068e-02,1.499829331973579968e-03,1.291636385630809958e-01
1.671687222230578166e-03,1.502732862827094173e-02,1.513521618601917831e-03,1.298047738191443479e-01
1.686772773607626971e-03,1.514385927279660038e-02,1.527343710694161307e-03,1.304541882313356993e-01
1.701975113282483106e-03,1.526090743631347557e-02,1.541296257669367772e-03,1.311119403751874746e-01
1.717294765414245725e-03,1.537848640271910483e-02,1.555379917284468614e-03,1.317780892692321792e-01
1.732732267456713092e-03,1.549660947660713717e-02,1.569595355693674619e-03,1.324526943785180322e-01
1.748288170178333416e-03,1.561528998376560118e-02,1.583943247506941140e-03,1.331358156181425834e-01
1.763963037684264682e-03,1.573454127166606931e-02,1.598424275850515372e-03,1.338275133568314068e-01
