# s_error_dp, s_error_pinn
4.227374561235817257e-02,4.248754969450251051e-02
4.218037567030513690e-02,4.218039485656013832e-02
4.218036287757244429e-02,4.218036297822669312e-02
4.218038596779005722e-02,4.218034706168570513e-02
4.218035482564403554e-02,4.218089374234926942e-02
4.218022858053418339e-02,4.218020283413017463e-02
4.217965174297444442e-02,4.217963831937344976e-02
4.217929601647893434e-02,4.217949939846738633e-02
4.213502322664357952e-02,4.214765189372517845e-02
4.213532885141895584e-02,4.214621792838577768e-02
4.202669091250740147e-02,4.032286148947922255e-02
3.068426675014669994e-02,3.996918621734640159e-02
3.082091427872912792e-02,3.733090302445047498e-02
2.029774639638277575e-02,3.572448963489530116e-02
1.523117017613007280e-02,2.123473474269841482e-02
1.510635706518976065e-02,2.214314181383938984e-02
1.416411193794989663e-02,1.903411535260124063e-02
1.302154095464722397e-02,1.611664361741456386e-02
1.175924498312597676e-02,1.628659916104803138e-02
1.080862681105475114e-02,1.609498306722854238e-02
1.033235622955878431e-02,1.626736393789055685e-02
6.596341846052987574e-03,1.669057269026867629e-02
4.298381532924509633e-03,1.575204854468750804e-02
4.110290654915452549e-03,1.550581948783543579e-02
3.845837523248743766e-03,1.552155343364426156e-02
3.654440110253401146e-03,1.547530501164729941e-02
3.664032219393605939e-03,1.589952880126840884e-02
3.706953205975203718e-03,1.477395072518962113e-02
3.632877197409675046e-03,1.336212284491601794e-02
3.472755427024035602e-03,1.486583979858188166e-02
3.349624271205357915e-03,6.639589023238611117e-03
2.907974857370423591e-03,1.970866043974516674e-03
2.834673160286180389e-03,2.026583848216953910e-03
2.872776533783846613e-03,2.184474395561706271e-03
2.978076255035333204e-03,1.900932049767785955e-03
2.871893591494325236e-03,1.727711106620658096e-03
2.875446761487127512e-03,1.313196105027860088e-03
3.127934184771667767e-03,1.234128776837010435e-03
2.886963780555755650e-03,1.765512001067793754e-03
2.737703299952611111e-03,1.263689589979666815e-03
3.062385639864129930e-03,1.780755658010487429e-03
2.653093182007141160e-03,1.241144005633104458e-03
2.626562104124292776e-03,1.429777380014756556e-03
2.045013294413074688e-03,1.629712919268940874e-03
1.834614338363333265e-03,1.307119835324893923e-03
1.893139703574159933e-03,1.264426346635357055e-03
1.688437529019816766e-03,1.878847706018477951e-03
1.399875457580557724e-03,1.894354064319215322e-03
1.645801478632302100e-03,1.473797567125072162e-03
1.311025947608036261e-03,1.388015413345818766e-03
1.180600771597187584e-03,1.444623787591223923e-03
1.269946408549860704e-03,1.246421331543323121e-03
1.208476242286739060e-03,1.479040065916335149e-03
1.220073923577566976e-03,1.450751726949215141e-03
1.818253150922095711e-03,1.862652110016146598e-03
1.742550137052432165e-03,1.329678116162466084e-03
1.583022436780113498e-03,1.383614950640929715e-03
1.222710456562781404e-03,1.438747999099635041e-03
1.386666608093729608e-03,1.376532829027476632e-03
1.767047896222785760e-03,1.823735595398201384e-03
1.493299521292835086e-03,1.599101389242051693e-03
1.803409533388606462e-03,1.741628761784698963e-03
1.167044582660903794e-03,1.272665821331027142e-03
1.088146726188298852e-03,1.412886400818451479e-03
1.345128389544159855e-03,1.590304343342219956e-03
1.852601764981979399e-03,1.813570908819576045e-03
1.667759701522695181e-03,1.401333573135927872e-03
