# step_dp, step_pinn
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,7.385660537854626284e+01
5.000000000000000278e-02,2.170852259306473714e-02
5.000000000000000278e-02,1.223685549675419398e-01
2.047899621713083207e-01,5.000000000000000278e-02
4.143285690094684059e-01,5.000000000000000278e-02
3.935813613921174126e-01,3.314832144841873829e-01
3.625466253832686503e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,1.166489777196400901e+01
5.000000000000000278e-02,5.000000000000000278e-02
5.289378276604884688e-01,1.166264657790900827e-01
5.000000000000000278e-02,3.216322491271809136e-01
1.634642585350513100e+00,5.000000000000000278e-02
2.326374884168218998e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
6.211296551063471005e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,2.056573149099136244e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.030619100778490616e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.416601967284441210e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,2.233159875231526537e-01
5.000000000000000278e-02,6.956271662222286434e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,1.462202772014700169e-01
3.449119880134413063e-01,2.245234215326600558e-01
5.000000000000000278e-02,5.000000000000000278e-02
7.433375200258286464e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
4.742943947196973098e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
