# error_dp, error_pinn
4.263400073086404118e-02,4.309477669329178640e-02
4.218036278851895055e-02,4.218037302430113766e-02
4.218035594948416067e-02,4.218035597160793571e-02
4.218035697021583347e-02,4.218045508135871008e-02
4.218037011122488522e-02,4.218024506811035579e-02
4.218059541664925111e-02,4.218016979340277750e-02
4.218030853467182040e-02,4.218016583466121378e-02
4.218016426732827673e-02,3.196161099768429770e-02
4.218016054130296899e-02,3.220261512533233866e-02
3.789065624956252515e-02,1.784141787728797321e-02
3.792590304579944449e-02,2.788656682731243536e-02
3.733293626402720694e-02,1.919126814677092271e-02
2.054281883596233149e-02,1.601940455037002137e-02
1.655111619949618113e-02,1.432389718669426111e-02
1.429722522845545442e-02,1.410339649380969521e-02
1.429897010121874631e-02,1.686936969508407921e-02
1.616765889317962196e-02,7.021269300720671576e-03
1.499327485664330405e-02,7.899231007038938490e-03
1.217206548954583890e-02,3.968482013993844017e-03
6.455278436130424367e-03,2.075884329520648677e-03
7.009751673583994834e-03,2.384087214926381391e-03
4.659392985521723304e-03,2.843299847598009661e-03
3.214308042261218752e-03,1.785438640342553590e-03
2.068886463846454551e-03,1.976276446418077318e-03
1.821409446826580038e-03,1.731076421442097812e-03
1.821403506067041872e-03,2.718569533709983867e-03
1.922166215598227097e-03,2.366167344004505620e-03
1.899093749992475811e-03,3.152971249646616819e-03
2.029874846419342689e-03,3.643961959301722942e-03
2.497719384723069615e-03,2.793062104071209785e-03
2.827145658647363738e-03,4.619581569704572788e-03
3.654384155151161554e-03,3.937968554899156162e-03
3.182818828315362933e-03,3.270083147605668591e-03
3.461288131820111115e-03,3.213891806794266781e-03
4.019053883421826873e-03,2.125713702108931753e-03
3.703094021908257850e-03,1.541198906810819710e-03
3.814898954905008525e-03,8.002616333356023064e-04
3.869834439590411328e-03,5.516345106480014665e-03
3.835200338768819401e-03,6.125987514553821699e-03
3.811983628544965766e-03,7.539888594953682473e-03
3.718737405642451224e-03,7.728425810853942722e-03
3.473473229662391894e-03,6.682918392691619171e-03
2.883907998393033835e-03,3.402021000598674186e-03
1.937896094218682268e-03,4.757107246555605795e-03
8.560428119125560679e-04,4.742139840224948895e-03
2.965561316870798936e-03,4.833343353040460942e-03
2.403252439891367075e-03,5.142027001669473990e-03
2.376394021171587476e-03,5.152635816057069169e-03
2.923808553249444917e-03,5.133839612352455485e-03
3.413729149291034291e-03,5.367429631798210053e-03
4.653975072509127474e-03,6.197464322911379678e-03
5.089022980173088864e-03,6.633043942380297854e-03
6.156822503648731390e-03,7.474662902423097159e-03
6.896120730385212755e-03,7.141493012772432043e-03
8.237486864453011370e-03,7.288337481873923343e-03
1.272299612616044351e-02,7.724715218264032769e-03
1.237327418833106783e-02,8.280383656506132978e-03
1.244791129021926256e-02,9.453774320546934340e-03
1.322869894831987282e-02,8.683054377939331686e-03
1.143116129609469782e-02,9.043198152695381201e-03
9.975696822067486175e-03,9.352903540917920783e-03
9.426804225496548950e-03,9.257365649138291769e-03
8.487844080537400998e-03,8.803920269918179622e-03
6.343333911206307935e-03,8.572669937225472353e-03
5.481353488024322783e-03,8.158891415222028348e-03
5.736543969770624245e-03,7.437617796979171560e-03
4.902805288438072569e-03,5.934334101944729011e-03
4.320573543489658087e-03,4.376504439346538128e-03
3.643840413875314415e-03,2.865977436895296437e-03
3.751670643511905139e-03,2.222552881734059498e-03
3.501035792774296728e-03,1.772023456281757560e-03
2.980420429767077078e-03,2.108751966460965799e-03
2.041732413598002296e-03,2.393439587626741780e-03
1.908942846395892019e-03,2.102600274306021949e-03
1.409817136053999288e-03,1.995997678072669850e-03
1.137135331384305469e-03,1.819772718483893574e-03
7.853558206947166718e-04,1.827970417537151497e-03
7.521201966090573787e-04,1.828652248874201034e-03
1.411722194325861846e-03,1.952784305024861432e-03
1.952575727097775665e-03,1.934880093599489637e-03
3.076075500683275819e-03,1.937611623287392943e-03
4.257129272770100031e-03,1.943455587790225529e-03
5.819439812157335343e-03,1.933302014742176687e-03
5.349620936555494859e-03,1.893116214581973527e-03
2.584993930249586402e-03,1.855844714187907538e-03
4.766125010588260699e-03,1.780902330465424996e-03
4.689281307500556273e-03,1.797249079202328619e-03
4.859820986748311471e-03,1.823162364900518572e-03
4.051834099965497503e-03,1.824661692329220203e-03
4.625700017469284650e-03,1.821617456910033664e-03
5.685079553760664494e-04,1.815463920516058359e-03
5.275345709474670063e-04,1.799000183586253656e-03
5.172960326230009688e-04,1.652897824332946915e-03
8.660305082566473276e-04,1.694829787452552510e-03
2.834630932725233730e-03,1.751658036611641140e-03
2.187997670477738986e-03,1.729247153906086389e-03
2.177914848522742499e-03,1.535713771922368005e-03
2.859964916442559422e-03,1.194640413840294783e-03
3.200240421656483196e-03,8.777522166841416392e-04
4.809004040440658170e-03,8.115216451885514000e-04
6.297490383584122137e-03,7.086276669188824005e-04
6.444979492414695810e-03,7.051706896638015171e-04
9.151124594865204034e-03,7.130373050435299563e-04
1.085893129786594247e-02,7.146307207822929618e-04
9.140294943869566036e-03,7.180617223550248441e-04
