# alpha_func, r_func, r_func_der, b_func, b_func_der, n_func
9.000000000000000222e-01,3.397013581031119167e-02,9.982139916199276319e-01,5.405518888382232490e-02,1.570125401564259171e+00,6.481137241720615842e-04
9.000000000000000222e-01,3.496832218945408050e-02,9.981587395818207753e-01,5.562531428538641798e-02,1.570125401564259171e+00,6.474427989917594991e-04
9.000000000000000222e-01,3.596645323520202692e-02,9.981033247249898599e-01,5.719543968695073310e-02,1.570125401564259171e+00,6.467718738114569803e-04
9.000000000000000222e-01,3.696452878442072626e-02,9.980477464181654046e-01,5.876556508851482619e-02,1.570125401564259171e+00,6.461009486311546784e-04
9.000000000000000222e-01,3.796254867334364347e-02,9.979920040270605641e-01,6.033569049007936336e-02,1.570125401564259171e+00,6.454300234508523765e-04
9.000000000000000222e-01,3.896051273756765548e-02,9.979360969143549198e-01,6.190581589164345644e-02,1.570125401564259171e+00,6.447590982705500746e-04
9.000000000000000222e-01,3.995842081205169122e-02,9.978800244396757169e-01,6.347594129320777157e-02,1.570125401564259171e+00,6.440881730902475559e-04
9.000000000000000222e-01,4.095627273111190902e-02,9.978237859595837644e-01,6.504606669477186465e-02,1.570125401564259171e+00,6.434172479099454708e-04
9.000000000000000222e-01,4.195406832842018402e-02,9.977673808275526746e-01,6.661619209633640182e-02,1.570125401564259171e+00,6.427463227296429521e-04
9.000000000000000222e-01,4.295180743699991699e-02,9.977108083939532079e-01,6.818631749790049490e-02,1.570125401564259171e+00,6.420753975493406502e-04
9.000000000000000222e-01,4.394948988922342537e-02,9.976540680060351773e-01,6.975644289946481003e-02,1.570125401564259171e+00,6.414044723690383483e-04
9.000000000000000222e-01,4.494711551680849460e-02,9.975971590079099061e-01,7.132656830102890311e-02,1.570125401564259171e+00,6.407335471887360464e-04
9.000000000000000222e-01,4.594468415081622015e-02,9.975400807405334636e-01,7.289669370259344028e-02,1.570125401564259171e+00,6.400626220084335277e-04
9.000000000000000222e-01,4.694219562164577558e-02,9.974828325416846830e-01,7.446681910415753336e-02,1.570125401564259171e+00,6.393916968281312257e-04
9.000000000000000222e-01,4.793964975903394765e-02,9.974254137459533931e-01,7.603694450572184849e-02,1.570125401564259171e+00,6.387207716478289238e-04
9.000000000000000222e-01,4.893704639204927986e-02,9.973678236847164369e-01,7.760706990728594157e-02,1.570125401564259171e+00,6.380498464675266219e-04
9.000000000000000222e-01,4.993438534909101778e-02,9.973100616861225731e-01,7.917719530885047874e-02,1.570125401564259171e+00,6.373789212872243200e-04
9.000000000000000222e-01,5.093166645788411301e-02,9.972521270750728251e-01,8.074732071041457182e-02,1.570125401564259171e+00,6.367079961069220181e-04
9.000000000000000222e-01,5.192888954547754399e-02,9.971940191732031611e-01,8.231744611197888695e-02,1.570125401564259171e+00,6.360370709266194994e-04
9.000000000000000222e-01,5.292605443823968775e-02,9.971357372988645107e-01,8.388757151354298003e-02,1.570125401564259171e+00,6.353661457463171975e-04
9.000000000000000222e-01,5.392316096185629376e-02,9.970772807671036686e-01,8.545769691510751720e-02,1.570125401564259171e+00,6.346952205660148956e-04
9.000000000000000222e-01,5.492020894132535608e-02,9.970186488896461974e-01,8.702782231667161028e-02,1.570125401564259171e+00,6.340242953857125937e-04
9.000000000000000222e-01,5.591719820095641946e-02,9.969598409748766654e-01,8.859794771823592541e-02,1.570125401564259171e+00,6.333533702054100750e-04
9.000000000000000222e-01,5.691412856436449397e-02,9.969008563278182189e-01,9.016807311980001849e-02,1.570125401564259171e+00,6.326824450251079899e-04
9.000000000000000222e-01,5.791099985446854226e-02,9.968416942501140410e-01,9.173819852136455566e-02,1.570125401564259171e+00,6.320115198448054711e-04
9.000000000000000222e-01,5.890781189348726771e-02,9.967823540400096993e-01,9.330832392292864874e-02,1.570125401564259171e+00,6.313405946645031692e-04
9.000000000000000222e-01,5.990456450293607515e-02,9.967228349923298314e-01,9.487844932449296387e-02,1.570125401564259171e+00,6.306696694842008673e-04
9.000000000000000222e-01,6.090125750362321289e-02,9.966631363984631564e-01,9.644857472605705695e-02,1.570125401564259171e+00,6.299987443038985654e-04
9.000000000000000222e-01,6.189789071564696932e-02,9.966032575463378285e-01,9.801870012762159412e-02,1.570125401564259171e+00,6.293278191235960467e-04
9.000000000000000222e-01,6.289446395839125292e-02,9.965431977204056713e-01,9.958882552918568720e-02,1.570125401564259171e+00,6.286568939432937448e-04
9.000000000000000222e-01,6.389097705052354526e-02,9.964829562016193076e-01,1.011589509307500023e-01,1.570125401564259171e+00,6.279859687629914429e-04
9.000000000000000222e-01,6.488742980998950249e-02,9.964225322674142848e-01,1.027290763323140954e-01,1.570125401564259171e+00,6.273150435826891410e-04
9.000000000000000222e-01,6.588382205401120684e-02,9.963619251916847608e-01,1.042992017338786326e-01,1.570125401564259171e+00,6.266441184023868391e-04
9.000000000000000222e-01,6.688015359908250357e-02,9.963011342447685159e-01,1.058693271354427257e-01,1.570125401564259171e+00,6.259731932220845372e-04
9.000000000000000222e-01,6.787642426096594794e-02,9.962401586934224174e-01,1.074394525370070408e-01,1.570125401564259171e+00,6.253022680417820185e-04
9.000000000000000222e-01,6.887263385468890553e-02,9.961789978008024349e-01,1.090095779385711339e-01,1.570125401564259171e+00,6.246313428614797165e-04
9.000000000000000222e-01,6.986878219454042971e-02,9.961176508264436569e-01,1.105797033401356710e-01,1.570125401564259171e+00,6.239604176811774146e-04
9.000000000000000222e-01,7.086486909406661261e-02,9.960561170262381969e-01,1.121498287416997641e-01,1.570125401564259171e+00,6.232894925008751127e-04
9.000000000000000222e-01,7.186089436606842018e-02,9.959943956524156539e-01,1.137199541432640792e-01,1.570125401564259171e+00,6.226185673205725940e-04
9.000000000000000222e-01,7.285685782259632148e-02,9.959324859535193530e-01,1.152900795448281723e-01,1.570125401564259171e+00,6.219476421402705089e-04
9.000000000000000222e-01,7.385275927494885928e-02,9.958703871743879166e-01,1.168602049463927095e-01,1.570125401564259171e+00,6.212767169599679902e-04
9.000000000000000222e-01,7.484859853366554461e-02,9.958080985561306164e-01,1.184303303479568026e-01,1.570125401564259171e+00,6.206057917796656883e-04
9.000000000000000222e-01,7.584437540852718984e-02,9.957456193361076124e-01,1.200004557495211177e-01,1.570125401564259171e+00,6.199348665993633864e-04
