# step_dp, step_pinn
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,4.201658333928494748e+00
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,1.389130352536089956e-02
2.183250239772049461e+00,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
2.988210505881826462e-01,5.000000000000000278e-02
1.643412463460956485e-01,5.000000000000000278e-02
2.737018494480308872e-01,6.479086368495399206e-01
5.000000000000000278e-02,5.000000000000000278e-02
4.401872881770808599e-01,1.448789379021213630e-01
1.911214296541071667e-01,5.000000000000000278e-02
2.836286850970621831e-01,1.874276624378616932e-02
3.273905737805473670e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,3.621426997923170299e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,1.513742770157596729e-01
5.000000000000000278e-02,3.528830915281329084e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
1.740022201693902648e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
3.244818807467036992e-01,4.734296773260684293e-02
5.000000000000000278e-02,2.320950777713257640e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.477358416649759087e-01,1.580264136891983995e+01
5.000000000000000278e-02,2.482974764918949862e-01
5.000000000000000278e-02,1.796770417126716257e-01
3.581184721166317253e-01,1.997498502237564089e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,3.093929417345828159e-01
5.000000000000000278e-02,5.000000000000000278e-02
4.068760447258062407e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
3.162838022837958230e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.061860894703655855e-01
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
4.695956150038579913e-01,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,5.000000000000000278e-02
5.000000000000000278e-02,3.804295058772466098e-01
5.000000000000000278e-02,3.346022598207608056e-01
5.000000000000000278e-02,5.000000000000000278e-02
