# zero_pos_dp, zero_pos_pinn
9.980000000000000000e+02,9.980000000000000000e+02
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.001000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.001000000000000000e+03,1.000000000000000000e+03
1.001000000000000000e+03,1.000000000000000000e+03
1.003000000000000000e+03,1.000000000000000000e+03
1.004000000000000000e+03,1.001000000000000000e+03
9.990000000000000000e+02,1.002000000000000000e+03
9.950000000000000000e+02,1.003000000000000000e+03
1.001000000000000000e+03,1.003000000000000000e+03
1.004000000000000000e+03,1.001000000000000000e+03
9.990000000000000000e+02,1.005000000000000000e+03
1.001000000000000000e+03,1.008000000000000000e+03
1.001000000000000000e+03,1.006000000000000000e+03
1.000000000000000000e+03,1.003000000000000000e+03
9.990000000000000000e+02,9.990000000000000000e+02
9.980000000000000000e+02,1.001000000000000000e+03
9.980000000000000000e+02,1.000000000000000000e+03
9.990000000000000000e+02,1.001000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
9.990000000000000000e+02,1.000000000000000000e+03
9.990000000000000000e+02,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,9.990000000000000000e+02
1.001000000000000000e+03,1.000000000000000000e+03
1.002000000000000000e+03,1.001000000000000000e+03
1.002000000000000000e+03,1.001000000000000000e+03
1.002000000000000000e+03,1.000000000000000000e+03
1.003000000000000000e+03,1.000000000000000000e+03
1.003000000000000000e+03,1.000000000000000000e+03
1.004000000000000000e+03,9.990000000000000000e+02
1.005000000000000000e+03,9.980000000000000000e+02
1.006000000000000000e+03,1.000000000000000000e+03
1.007000000000000000e+03,1.001000000000000000e+03
1.006000000000000000e+03,1.001000000000000000e+03
1.005000000000000000e+03,1.001000000000000000e+03
1.004000000000000000e+03,1.001000000000000000e+03
1.004000000000000000e+03,1.002000000000000000e+03
1.003000000000000000e+03,1.002000000000000000e+03
1.003000000000000000e+03,1.001000000000000000e+03
1.002000000000000000e+03,1.000000000000000000e+03
1.002000000000000000e+03,1.000000000000000000e+03
1.001000000000000000e+03,9.990000000000000000e+02
1.001000000000000000e+03,9.980000000000000000e+02
1.001000000000000000e+03,9.980000000000000000e+02
1.000000000000000000e+03,9.970000000000000000e+02
9.990000000000000000e+02,9.960000000000000000e+02
9.980000000000000000e+02,9.970000000000000000e+02
9.970000000000000000e+02,9.990000000000000000e+02
9.960000000000000000e+02,1.001000000000000000e+03
9.970000000000000000e+02,1.001000000000000000e+03
9.980000000000000000e+02,1.001000000000000000e+03
9.980000000000000000e+02,1.002000000000000000e+03
9.980000000000000000e+02,1.001000000000000000e+03
9.990000000000000000e+02,1.002000000000000000e+03
1.000000000000000000e+03,1.002000000000000000e+03
1.002000000000000000e+03,1.002000000000000000e+03
1.001000000000000000e+03,1.003000000000000000e+03
1.002000000000000000e+03,1.002000000000000000e+03
1.004000000000000000e+03,1.003000000000000000e+03
1.004000000000000000e+03,1.003000000000000000e+03
1.006000000000000000e+03,1.003000000000000000e+03
1.007000000000000000e+03,1.003000000000000000e+03
1.009000000000000000e+03,1.002000000000000000e+03
1.009000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.015000000000000000e+03,1.002000000000000000e+03
1.016000000000000000e+03,1.001000000000000000e+03
1.019000000000000000e+03,1.001000000000000000e+03
1.019000000000000000e+03,1.002000000000000000e+03
1.020000000000000000e+03,1.002000000000000000e+03
1.022000000000000000e+03,1.002000000000000000e+03
1.024000000000000000e+03,1.002000000000000000e+03
1.024000000000000000e+03,1.002000000000000000e+03
1.027000000000000000e+03,1.002000000000000000e+03
1.024000000000000000e+03,1.003000000000000000e+03
1.027000000000000000e+03,1.003000000000000000e+03
1.025000000000000000e+03,1.005000000000000000e+03
1.022000000000000000e+03,1.004000000000000000e+03
1.022000000000000000e+03,1.004000000000000000e+03
1.019000000000000000e+03,1.004000000000000000e+03
1.018000000000000000e+03,1.004000000000000000e+03
1.016000000000000000e+03,1.003000000000000000e+03
1.015000000000000000e+03,1.003000000000000000e+03
1.013000000000000000e+03,1.003000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.003000000000000000e+03
1.009000000000000000e+03,1.004000000000000000e+03
1.008000000000000000e+03,1.003000000000000000e+03
1.007000000000000000e+03,1.003000000000000000e+03
1.007000000000000000e+03,1.002000000000000000e+03
1.006000000000000000e+03,1.003000000000000000e+03
1.005000000000000000e+03,1.003000000000000000e+03
1.006000000000000000e+03,1.003000000000000000e+03
1.005000000000000000e+03,1.003000000000000000e+03
1.005000000000000000e+03,1.003000000000000000e+03
1.005000000000000000e+03,1.003000000000000000e+03
1.004000000000000000e+03,1.003000000000000000e+03
1.004000000000000000e+03,1.003000000000000000e+03
1.003000000000000000e+03,1.003000000000000000e+03
1.003000000000000000e+03,1.004000000000000000e+03
1.003000000000000000e+03,1.004000000000000000e+03
1.003000000000000000e+03,1.004000000000000000e+03
1.002000000000000000e+03,1.004000000000000000e+03
1.002000000000000000e+03,1.004000000000000000e+03
1.003000000000000000e+03,1.004000000000000000e+03
1.003000000000000000e+03,1.004000000000000000e+03
1.004000000000000000e+03,1.004000000000000000e+03
1.004000000000000000e+03,1.004000000000000000e+03
1.005000000000000000e+03,1.004000000000000000e+03
1.005000000000000000e+03,1.004000000000000000e+03
1.005000000000000000e+03,1.004000000000000000e+03
1.006000000000000000e+03,1.004000000000000000e+03
1.007000000000000000e+03,1.004000000000000000e+03
1.007000000000000000e+03,1.005000000000000000e+03
1.007000000000000000e+03,1.005000000000000000e+03
1.008000000000000000e+03,1.005000000000000000e+03
1.008000000000000000e+03,1.005000000000000000e+03
1.009000000000000000e+03,1.005000000000000000e+03
1.009000000000000000e+03,1.005000000000000000e+03
1.010000000000000000e+03,1.005000000000000000e+03
1.010000000000000000e+03,1.005000000000000000e+03
1.010000000000000000e+03,1.005000000000000000e+03
1.010000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.011000000000000000e+03,1.005000000000000000e+03
1.010000000000000000e+03,1.005000000000000000e+03
1.010000000000000000e+03,1.004000000000000000e+03
1.011000000000000000e+03,1.004000000000000000e+03
1.011000000000000000e+03,1.004000000000000000e+03
1.010000000000000000e+03,1.004000000000000000e+03
1.010000000000000000e+03,1.004000000000000000e+03
1.010000000000000000e+03,1.004000000000000000e+03
1.010000000000000000e+03,1.003000000000000000e+03
1.010000000000000000e+03,1.003000000000000000e+03
1.010000000000000000e+03,1.003000000000000000e+03
1.010000000000000000e+03,1.003000000000000000e+03
1.010000000000000000e+03,1.003000000000000000e+03
1.011000000000000000e+03,1.003000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.010000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.011000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.002000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.012000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.011000000000000000e+03,1.001000000000000000e+03
1.010000000000000000e+03,1.001000000000000000e+03
1.010000000000000000e+03,1.001000000000000000e+03
1.009000000000000000e+03,1.001000000000000000e+03
1.009000000000000000e+03,1.001000000000000000e+03
1.009000000000000000e+03,1.001000000000000000e+03
1.008000000000000000e+03,1.001000000000000000e+03
1.009000000000000000e+03,1.001000000000000000e+03
1.008000000000000000e+03,1.001000000000000000e+03
1.008000000000000000e+03,1.001000000000000000e+03
1.008000000000000000e+03,1.001000000000000000e+03
1.007000000000000000e+03,1.001000000000000000e+03
