# s_error_dp, s_error_pinn
5.842079203438179736e-04,8.462081941293002948e-04
1.006143009332731994e-03,9.106946797353737601e-04
7.225846600647096692e-04,1.008938060349860765e-03
1.021176840800783322e-03,9.939604360458529665e-04
1.159332669112111752e-03,9.323166788516302735e-04
6.950856646153067081e-04,8.840744488997900538e-04
1.382962761013820487e-03,6.079286096733647286e-04
8.565691978053444284e-04,8.778029079738258007e-04
1.269088644191566440e-03,1.033070924354193097e-03
1.224156356455809863e-03,1.207317149481320403e-03
1.238834704540508688e-03,1.319748624585629889e-03
7.387255360185497220e-04,1.160590880207090780e-03
1.168315390118829884e-03,1.188451488448979488e-03
8.155262439586584075e-04,1.038414305052332010e-03
9.347184418683169649e-04,1.100989826591338913e-03
1.149343296970300717e-03,9.831356645828952245e-04
4.332720841112172941e-04,9.401570565344576210e-04
3.670490322677214695e-04,7.381857098031834952e-04
4.616935263253434422e-04,8.014123077106278560e-04
3.806232315505093619e-04,8.872552866360384604e-04
5.200244550199933707e-04,7.624840752017109742e-04
6.055386295524588583e-04,1.199217314137600732e-03
3.878225987282821912e-04,8.487514305031763125e-04
6.815236298344551661e-04,4.740283046535761656e-04
8.259454807370170560e-04,3.875415851978427479e-04
9.145922133761124478e-04,6.232764240702759386e-04
1.345069582341208193e-03,8.150089089939240635e-04
1.557934482460978471e-03,6.622268455983283631e-04
1.232165361882506293e-03,9.513405073310567854e-04
1.309832172941708403e-03,6.543957238548105083e-04
1.098318318389840138e-03,7.898123726605472570e-04
3.885626508359812568e-04,1.346186348958616427e-03
7.061435810298536840e-04,1.405908206065797439e-03
4.648825690882471876e-04,9.805097433728468537e-04
4.071001404905470679e-04,3.389259627130578306e-04
6.665225988473956215e-04,4.092469594229278143e-04
3.894076670199137836e-04,6.281002573788776848e-04
6.717861774063842422e-04,1.380867504329591142e-03
1.219742092558961152e-03,1.125291685762742867e-03
1.103261260848669616e-03,9.569470222299614540e-04
8.830474568982430664e-04,1.276763996291124673e-03
7.396357644142693933e-04,1.148181921589998397e-03
4.268742745345272113e-04,9.406234803459568271e-04
1.290928684193970791e-03,7.569148827338213932e-04
1.255688245120829914e-03,5.079593227933855469e-04
1.171112692760892249e-03,2.474002218771989559e-04
1.110543992581208058e-03,1.973311509071262032e-04
5.831480394964155996e-04,1.399708981695129155e-04
4.473755664418006556e-04,2.200509622943684119e-04
3.912866009217231557e-04,2.835054550756419683e-04
3.653464031976604888e-04,3.380446370561474901e-04
4.970053305208750084e-04,3.678085715215434286e-04
5.092842796215697526e-04,3.818289318322778069e-04
5.844871532111355810e-04,4.457637872322568751e-04
5.628884401558542508e-04,4.521542992391338733e-04
9.970398438826073677e-04,2.813454441677181329e-04
1.221873764102075505e-03,2.475133747406911013e-04
8.705298799095486382e-04,1.822666932085376026e-04
3.743022748679621266e-04,1.773564144178303617e-04
9.698307894889867482e-04,1.624348637758531817e-04
1.154250434153904995e-03,1.604084545250714837e-04
1.351440016683067664e-03,1.546480767872104476e-04
1.415050541561914833e-03,1.509177728382040014e-04
1.428676566250225563e-03,1.470335055721765441e-04
1.400053734415439548e-03,1.416683435580279868e-04
1.218998236602680590e-03,1.363486844617847250e-04
8.265920112524886496e-04,1.294669147975346902e-04
1.359549286561486606e-03,1.229450551060623010e-04
1.387820272168369118e-03,1.187569300107463104e-04
1.144543771114312847e-03,1.205311453757585793e-04
1.169096852039624079e-03,1.192840041462257263e-04
1.291049697954769343e-03,1.182257042735110109e-04
1.357057943153411978e-03,2.684183690778394480e-04
4.474188898949676562e-04,2.860670389039917738e-04
5.342049058706486043e-04,4.207780723080257394e-04
3.743035029579668709e-04,5.222234429252444864e-04
4.411663824894045127e-04,6.498703866457544590e-04
1.133429113638393868e-03,9.461671752119436233e-04
1.301754166772020908e-03,9.884480703653078255e-04
1.039111224346669828e-03,1.092356176076272542e-03
3.830787047468520428e-04,1.150983924691625958e-03
3.272458522637108728e-04,1.152190685531094983e-03
6.535222361780216064e-04,1.336976792988795208e-03
2.824349600818755728e-04,1.389345848669064441e-03
2.763423017236814718e-04,1.313262246333515588e-03
2.882284891121215920e-04,1.112520821791350119e-03
6.512209982866696808e-04,9.761224606547717637e-04
8.017301525918227052e-04,8.996217504179422749e-04
1.038200415811989415e-03,9.340488646513780968e-04
1.056130654480290669e-03,8.958419160141229288e-04
1.374215744045765783e-03,8.175189600034385483e-04
1.285753475863042486e-03,8.064093990783740900e-04
1.174841895377536040e-03,7.323025191765302139e-04
1.052714202501113701e-03,6.936153542758487483e-04
7.881664257114863285e-04,6.678284178815132232e-04
7.793400607139834308e-04,6.554963941278086096e-04
5.659090908337046722e-04,6.449599799582902580e-04
6.476320788244294959e-04,5.935389281796866557e-04
7.463868705602598724e-04,5.441793481983536089e-04
7.417078111570586012e-04,3.626972434719800313e-04
6.367533329088638809e-04,3.739462153233210772e-04
2.454074918181288153e-04,3.583177974947044210e-04
3.326983525861572973e-04,3.212831124225700666e-04
5.440398277031242066e-04,2.644892630635734963e-04
5.432746689194578593e-04,2.825707620839902059e-04
4.320707745941137329e-04,2.831906450673574984e-04
4.474024605581184539e-04,2.944430546610494765e-04
4.107385882779925187e-04,3.082214601544051012e-04
3.539924767436257187e-04,3.152867824420041627e-04
2.179397329400125846e-04,3.210777910402584862e-04
2.069301851780940764e-04,3.252696487019189424e-04
2.826427826565304545e-04,3.326417186185962722e-04
3.120236371721438000e-04,3.442801190393935534e-04
4.373208319602398973e-04,3.638169312919315801e-04
4.281960014810236282e-04,3.967496908567380879e-04
1.372218100746566607e-03,4.525810090499954763e-04
