# s_error_dp, s_error_pinn
4.219465736653864318e-02,4.221002852140250811e-02
4.218031024694480352e-02,4.218031027394318622e-02
1.553425434599254966e-02,1.718826369608361659e-02
1.545089692554822876e-02,2.046986560434035929e-02
1.483141219955045817e-02,1.854452418825386362e-02
1.434144856784951363e-02,1.508825338365653128e-02
1.230036142651858011e-02,1.447475950324828529e-02
1.005736107550359894e-02,1.186885485388504413e-02
8.317637054018554507e-03,1.226961899471754915e-02
6.200339434554148765e-03,9.769718023517134572e-03
4.391051464064362440e-03,9.650659161205235592e-03
1.917075426025994069e-03,4.035090778764675000e-03
2.026839423665912580e-03,2.121558767181590775e-03
1.699060911465462200e-03,1.693343397864235196e-03
1.632109674301569953e-03,1.810705537503165801e-03
1.771553105026225493e-03,1.817784037932548835e-03
1.451404999125837942e-03,1.974049367389025308e-03
1.539556195396369741e-03,1.505900276282694543e-03
1.862907094808878431e-03,1.316683213146271382e-03
1.458898741907308514e-03,1.340076339633121914e-03
1.457073612976836959e-03,1.758444382144952901e-03
1.251278562364409579e-03,1.173074060850965621e-03
1.466361313474406599e-03,1.100992212684498558e-03
1.204698033392371474e-03,1.203899566275601959e-03
1.615545602873900456e-03,1.357609811903592607e-03
1.275207798483393544e-03,1.510881942727652612e-03
1.174561905571259003e-03,1.358639669598765785e-03
8.200756920307771631e-04,1.424298696443482585e-03
8.264553418844579466e-04,1.808501493909064808e-03
1.195387434516443021e-03,1.372127268294860833e-03
8.442401766972850666e-04,1.401527162920911205e-03
9.966165429066830162e-04,1.314189793813945895e-03
1.055621193276276570e-03,1.464915311414553877e-03
1.271101484724641894e-03,1.604754196793718160e-03
1.382858426991268562e-03,1.514950235507866614e-03
1.251009966358523125e-03,1.377827262669214159e-03
8.050225593160001631e-04,1.578122192926125758e-03
1.474636659202700978e-03,1.736183384488762744e-03
1.263359743608738310e-03,1.697373399837201393e-03
1.040176929854716523e-03,1.690110516633826524e-03
7.908179258970015127e-04,1.137773949449181728e-03
1.393533297728733996e-03,1.132278208676599021e-03
1.107273404123938505e-03,1.254296960562843689e-03
1.574888073378372588e-03,9.384932176185654083e-04
1.321091596410937929e-03,1.167854239653348452e-03
1.391450888258693184e-03,1.040239740534284812e-03
8.294158293807930068e-04,1.196321995996673998e-03
8.178091281506386090e-04,1.164352140897188239e-03
1.388884569539365925e-03,8.345715579141433672e-04
1.553936017055316263e-03,8.363461622528517436e-04
1.497282714615191844e-03,7.276027679923793715e-04
7.656615223129336267e-04,1.030631281135384455e-03
1.464277986828776404e-03,8.503889972255722915e-04
7.665806983962747271e-04,8.245612259672605504e-04
1.418455259335715986e-03,7.867158202053335615e-04
1.420796643444702679e-03,7.915971814007077183e-04
1.356018129214818816e-03,6.788029172909019245e-04
1.073023188644471344e-03,6.497634074004429499e-04
8.035287098445752316e-04,1.614417207166371666e-03
7.461232650807262615e-04,4.750590083684174563e-04
7.105185115347215259e-04,5.538276383006615752e-04
7.241020847009347564e-04,4.277172775860180664e-04
7.045120518322888067e-04,5.158080227294968654e-04
7.382536701599462211e-04,5.264838228279562771e-04
7.964448308686486152e-04,4.481385870208651288e-04
7.130424582686540301e-04,5.154046193360997804e-04
7.641813764841374383e-04,6.567428900159711681e-04
7.980376261802509105e-04,2.880482555398461235e-04
8.048237930480805222e-04,3.085954578239217269e-04
7.060558337045083448e-04,2.958577884912163940e-04
6.715201658509343261e-04,3.484884814937158713e-04
7.142691712385279296e-04,1.160549620637366672e-03
7.425203147776030573e-04,9.739026608317111981e-04
7.930339213254199897e-04,8.658007739832945674e-04
1.007573809266819461e-03,6.050950505368260729e-04
9.230655787041264345e-04,6.535167866102132000e-04
1.435837717046306800e-03,6.416372755985185307e-04
1.463674879818498750e-03,6.347541514809468873e-04
7.785624533718318342e-04,5.042211287051970086e-04
6.358500310877542028e-04,2.558530294518723694e-04
1.168321381493890674e-03,3.890426114278482182e-04
6.337723936957934167e-04,2.883816027508630448e-04
9.380683504472950079e-04,2.260434015831685106e-04
1.111148044863323079e-03,7.218332551535594803e-04
6.001241524550123213e-04,8.051838009506208284e-04
7.324126738167958646e-04,5.357029791108217044e-04
8.659332039031551482e-04,6.774815339127254060e-04
1.423032407374475372e-03,8.017773515426011724e-04
8.924896498129228709e-04,1.033337653333394604e-03
7.439408395083086907e-04,1.113235360017798522e-03
1.268490870473906870e-03,1.249748825527636229e-03
1.333901565789904695e-03,1.201851805389553100e-03
4.778349446412554153e-04,1.166539584861794919e-03
1.465044104865783573e-03,1.075550301028946115e-03
