# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,2.169844477820850326e-01
6.717047958419192395e-04,8.883531999577254368e-04,6.717047958419192395e-04,2.178722755598740957e-01
6.727022336650731417e-04,1.106671103231926523e-03,6.727022336650731417e-04,2.187642187739188282e-01
6.739184360513945579e-04,1.325883016843443230e-03,6.739184360513945579e-04,2.196603000076454704e-01
6.753542990849678096e-04,1.545993090161568162e-03,6.753542990849678096e-04,2.205605419869500761e-01
6.770107230088260111e-04,1.767005495354467826e-03,6.770107230088260111e-04,2.214649675811869445e-01
6.788886122512567418e-04,1.988924427531957306e-03,6.788886122512567418e-04,2.223735998042053463e-01
6.809888754454110349e-04,2.211754104890051309e-03,6.809888754454110349e-04,2.232864618153636016e-01
6.833124254560404539e-04,2.435498768858845864e-03,6.833124254560404539e-04,2.242035769205656948e-01
6.858601794001238216e-04,2.660162684245959142e-03,6.858601794001238216e-04,2.251249685733128780e-01
6.886330586711097643e-04,2.885750139387521784e-03,6.886330586711097643e-04,2.260506603757396205e-01
6.916319889627153827e-04,3.112265446296280658e-03,6.916319889627153827e-04,2.269806760796824197e-01
6.948579002925129623e-04,3.339712940813255315e-03,6.948579002925129623e-04,2.279150395877445057e-01
6.983117270263838276e-04,3.568096982756507884e-03,6.983117270263838276e-04,2.288537749543696487e-01
7.019944079015504827e-04,3.797421956075464067e-03,7.019944079015504827e-04,2.297969063869290673e-01
7.059068860515418844e-04,4.027692269004345960e-03,7.059068860515418844e-04,2.307444582468147765e-01
7.100501090299900534e-04,4.258912354214938745e-03,7.100501090299900534e-04,2.316964550505319353e-01
7.144250288360021401e-04,4.491086668974908491e-03,7.144250288360021401e-04,2.326529214708228377e-01
7.190326019383212188e-04,4.724219695304343603e-03,7.190326019383212188e-04,2.336138823377732487e-01
7.238737892992449813e-04,4.958315940127633326e-03,7.238737892992449813e-04,2.345793626399457210e-01
7.289495564016296343e-04,5.193379935443775963e-03,7.289495564016296343e-04,2.355493875255193492e-01
7.342608732723467221e-04,5.429416238473594447e-03,7.342608732723467221e-04,2.365239823034236410e-01
7.398087145085070499e-04,5.666429431836039754e-03,7.398087145085070499e-04,2.375031724445036962e-01
7.455940593018519800e-04,5.904424123693186033e-03,7.455940593018519800e-04,2.384869835826823881e-01
7.516178914663926725e-04,6.143404947930974913e-03,7.516178914663926725e-04,2.394754415161294281e-01
7.578811994614564288e-04,6.383376564310649925e-03,7.578811994614564288e-04,2.404685722084409782e-01
7.643849764206027972e-04,6.624343658642839472e-03,7.643849764206027972e-04,2.414664017898442427e-01
7.711302201752742507e-04,6.866310942950315521e-03,7.711302201752742507e-04,2.424689565583808548e-01
7.781179332823253813e-04,7.109283155642298624e-03,7.781179332823253813e-04,2.434762629811336732e-01
7.853491230505603741e-04,7.353265061675218206e-03,7.853491230505603741e-04,2.444883476954315960e-01
7.928248015672289574e-04,7.598261452731680521e-03,7.928248015672289574e-04,2.455052375100940099e-01
8.005459857239402436e-04,7.844277147387668236e-03,8.005459857239402436e-04,2.465269594066593628e-01
8.085136972446507579e-04,8.091316991288399763e-03,8.085136972446507579e-04,2.475535405406410483e-01
8.167289627132721290e-04,8.339385857323078355e-03,8.167289627132721290e-04,2.485850082427851770e-01
8.251928135999667862e-04,8.588488645796754639e-03,8.251928135999667862e-04,2.496213900203416713e-01
8.339062862880478825e-04,8.838630284613957500e-03,8.339062862880478825e-04,2.506627135583342492e-01
8.428704221040023712e-04,9.089815729453443183e-03,8.428704221040023712e-04,2.517090067208695991e-01
8.520862673431565644e-04,9.342049963944276669e-03,8.520862673431565644e-04,2.527602975524183559e-01
8.615548732988177532e-04,9.595337999854791633e-03,8.615548732988177532e-04,2.538166142791391522e-01
8.712772962898632494e-04,9.849684877268671812e-03,8.712772962898632494e-04,2.548779853101859061e-01
8.812545976896808859e-04,1.010509566477213461e-02,8.812545976896808859e-04,2.559444392390622935e-01
8.914878439547512965e-04,1.036157545963711790e-02,8.914878439547512965e-04,2.570160048449334766e-01
9.019781066533320022e-04,1.061912938800757544e-02,9.019781066533320022e-04,2.580927110940103297e-01
9.127264624933465603e-04,1.087776260508821480e-02,9.127264624933465603e-04,2.591745871408874802e-01
9.237339933540047792e-04,1.113748029533434547e-02,9.237339933540047792e-04,2.602616623299410792e-01
9.350017863128382749e-04,1.139828767263995069e-02,9.350017863128382749e-04,2.613539661966942651e-01
9.465309336758853101e-04,1.166018998052709144e-02,9.465309336758853101e-04,2.624515284692283679e-01
9.583225330083081214e-04,1.192319249235218592e-02,9.583225330083081214e-04,2.635543790695862310e-01
9.703776871626760680e-04,1.218730051147987048e-02,9.703776871626760680e-04,2.646625481151941850e-01
9.826975043109994687e-04,1.245251937149904897e-02,9.826975043109994687e-04,2.657760659202884623e-01
9.952830979736526466e-04,1.271885443640874414e-02,9.952830979736526466e-04,2.668949629973662585e-01
1.008135587050033649e-03,1.298631110082015816e-02,1.008135587050033649e-03,2.680192700586286891e-01
1.021256095849902134e-03,1.325489479015673489e-02,1.021256095849902134e-03,2.691490180174622715e-01
1.034645754123721855e-03,1.352461096085666448e-02,1.034645754123721855e-03,2.702842379899010883e-01
1.048305697094179716e-03,1.379546510057827469e-02,1.048305697094179716e-03,2.714249612961291414e-01
1.062237065487415567e-03,1.406746272840053713e-02,1.062237065487415567e-03,2.725712194619764883e-01
1.076441005563613402e-03,1.434060939503156717e-02,1.076441005563613402e-03,2.737230442204330316e-01
1.090918669150590589e-03,1.461491068301645768e-02,1.090918669150590589e-03,2.748804675131765185e-01
1.105671213674723225e-03,1.489037220695044184e-02,1.105671213674723225e-03,2.760435214921186375e-01
1.120699802191857603e-03,1.516699961368139782e-02,1.120699802191857603e-03,2.772122385209385698e-01
1.136005603422328859e-03,1.544479858253211546e-02,1.136005603422328859e-03,2.783866511766666108e-01
1.151589791781195684e-03,1.572377482550546546e-02,1.151589791781195684e-03,2.795667922512482528e-01
1.167453547412730316e-03,1.600393408750777624e-02,1.167453547412730316e-03,2.807526947531399086e-01
1.183598056221778216e-03,1.628528214656155271e-02,1.183598056221778216e-03,2.819443919089086315e-01
1.200024509908194066e-03,1.656782481402419016e-02,1.200024509908194066e-03,2.831419171648452693e-01
1.216734106000242569e-03,1.685156793481046300e-02,1.216734106000242569e-03,2.843453041886014887e-01
