# s_error_dp, s_error_pinn
4.259854435162842290e-02,4.310814401476827790e-02
4.218095758810749829e-02,4.218184472731875689e-02
4.218034654549341483e-02,4.218034661762816440e-02
4.218034688205020422e-02,4.218034654386680626e-02
4.218036407880056821e-02,4.218034645104485475e-02
4.218050613446259339e-02,4.218034642097819031e-02
2.593062673124932674e-02,4.218034667218316380e-02
2.521603480444663259e-02,4.218034787741868630e-02
1.257007710516279929e-02,4.218035207406846399e-02
1.048171396386817986e-02,4.218036577224475170e-02
9.866589772475335696e-03,4.218041459087799872e-02
5.834981088839512504e-03,4.218478161918829544e-02
2.808947217529296665e-03,1.160446388437412144e-02
2.688906208007893050e-03,1.162540972732198363e-02
9.531000661438537597e-04,1.139415242865741626e-02
9.681673765613771614e-04,1.054611532012821561e-02
1.168980152260391597e-03,8.791610441891041169e-03
1.346490827275748006e-03,7.219603675827876953e-03
9.232159553221664424e-04,6.510327980582235850e-03
7.355878199448553966e-04,3.159122093042188856e-03
7.683686026681606695e-04,1.023122302418437088e-03
8.418695611123117517e-04,1.155528104188493837e-03
6.216034174293698020e-04,9.407203848333810150e-04
1.348951717093052616e-03,1.035745458312150192e-03
1.303040797540749472e-03,1.549175940874183543e-03
1.272728235427694147e-03,5.087018333350726805e-04
1.229132481724288465e-03,9.854428489747320968e-04
1.180990407816012331e-03,7.715798586456335375e-04
1.156508098666254305e-03,1.469762382471792844e-03
1.249887469591195880e-03,7.250336850301334572e-04
1.265188211167512502e-03,6.481411017954391302e-04
5.480136460055855859e-04,6.871055154884010176e-04
8.165348424251344783e-04,6.571221712774507739e-04
9.451694471190165512e-04,7.308072251967597703e-04
1.490889260863344614e-03,1.480598178918451089e-03
1.283868941698692624e-03,1.486373471149494887e-03
1.431445383781796863e-03,1.445557850053307133e-03
1.479149268009393239e-03,1.389290279623774929e-03
1.277582186620840722e-03,1.473798723611232904e-03
9.628202276195024301e-04,1.114329401645854653e-03
4.060604698846325311e-04,4.385004884445428209e-04
4.990148384946420899e-04,8.994498138080318957e-04
1.266087333887229438e-03,6.314644385399678867e-04
1.179384664270590908e-03,5.467601326849274744e-04
8.452054933073732722e-04,8.033472918631677940e-04
7.119185899721653830e-04,7.492578758663518031e-04
7.218790246687321497e-04,1.198764333576018536e-03
7.058331711854534023e-04,1.397210574155407104e-03
6.419780546362794131e-04,1.278340480010582703e-03
5.884833432191986097e-04,1.183937344792222691e-03
4.512300355650465146e-04,5.040532699238140608e-04
4.488269185750528158e-04,2.468262998666624370e-04
