# error_dp, error_pinn
4.397326166483091214e-02,4.574446591763859510e-02
4.218095758810749829e-02,4.218184472731875689e-02
4.218034654549341483e-02,4.218034661762816440e-02
4.218034688205020422e-02,4.218034654386680626e-02
4.218036407880056821e-02,4.218034645104485475e-02
4.218050613446259339e-02,4.218034642097819031e-02
6.248971416537937168e-02,4.218034667218316380e-02
5.785150228857507959e-02,4.218034787741868630e-02
1.754218971540820460e-02,4.218035207406846399e-02
1.048171396386817986e-02,4.218036577224475170e-02
1.027051518673972874e-02,4.218041459087799872e-02
5.834981088839512504e-03,4.218478161918829544e-02
4.143992732674433264e-03,1.772707233782408812e-02
2.688906208007893050e-03,1.763652725052530790e-02
9.531000661438537597e-04,1.250149124791978712e-02
9.681673765613771614e-04,1.089697913596657762e-02
1.168980152260391597e-03,9.053541385292549620e-03
1.846269227766432442e-03,8.593000578419692295e-03
3.497449525937978195e-03,8.468142317472962532e-03
5.264172140632532651e-03,9.418709520070213392e-03
6.273626012902591351e-03,8.164092703664672934e-03
6.368732933927314169e-03,8.064325075542576327e-03
6.048525247500766318e-03,8.078835964136450720e-03
4.116635896083885478e-03,7.830198367875119275e-03
4.068808869174289113e-03,7.043660639833892664e-03
4.036323114514497358e-03,5.768096177789790169e-03
3.989262153453951298e-03,4.813397769205265096e-03
3.936708348866224672e-03,3.422410914025636290e-03
3.909045618454634607e-03,1.609371710224927112e-03
4.008505567814041326e-03,7.250336850301334572e-04
4.521310778332987210e-03,6.481411017954391302e-04
5.912469614620317372e-03,6.871055154884010176e-04
6.337836931080740623e-03,6.571221712774507739e-04
6.503661551891612262e-03,7.308072251967597703e-04
7.068708700435118696e-03,1.480598178918451089e-03
7.272696136928081222e-03,1.486373471149494887e-03
7.111806183268287729e-03,1.445557850053307133e-03
7.061376527159598376e-03,1.389290279623774929e-03
6.892483683601489247e-03,1.473798723611232904e-03
6.564830079068174548e-03,1.844207464618046995e-03
5.904755568559226855e-03,2.586434736122882570e-03
5.266720146216670624e-03,3.692765572297121782e-03
4.436293870161918222e-03,5.075765858416569909e-03
3.983249872697574266e-03,6.148350930139538650e-03
3.634661657720712497e-03,7.725137932970944400e-03
3.493136288483705658e-03,1.201573781356180502e-02
3.506760516598187230e-03,1.249384408738941736e-02
3.490799241943234703e-03,1.552282760157954779e-02
3.433885509685641584e-03,1.540496210286549338e-02
3.373670863054553659e-03,1.531006697041356959e-02
3.216450531361900265e-03,1.651145387419287319e-02
2.461905466384435755e-03,1.683133407975925463e-02
1.513834828514535767e-03,1.758443961540593486e-02
8.730926447736072358e-04,1.835748995330252140e-02
5.600139581541700934e-04,1.857962587648984837e-02
6.506921400644420563e-04,1.879367927968201776e-02
1.861121490714253118e-04,1.885262278235072184e-02
7.926786627514554164e-05,1.884345038999015245e-02
9.582920378395225777e-05,1.916922854656201089e-02
2.674809332397215652e-04,2.269326513861575842e-02
2.907179682769938105e-04,2.215827646295941492e-02
3.124825803664417478e-04,2.291132474706797373e-02
3.276107930449686590e-04,2.342762595517093246e-02
3.373551817651906383e-04,2.400278903748240267e-02
3.376889614488760220e-04,2.363974478128248041e-02
3.340562163162496363e-04,2.301814120647498185e-02
3.324565844967711497e-04,2.338010627459571195e-02
3.316442543165135657e-04,2.330446032890650179e-02
3.304349971469165790e-04,2.284606737742372537e-02
3.286386930976468415e-04,2.282497270263716266e-02
3.269555509686381477e-04,2.273739046037492537e-02
3.240870711907990536e-04,2.266057015468608826e-02
3.190928993633640963e-04,2.264671812140226642e-02
3.081159017710850237e-04,2.263855157393723089e-02
2.832877958367881937e-04,2.263340722072289604e-02
2.251351822774687046e-04,2.263843735888461384e-02
1.032616756002546272e-04,2.265426221003278423e-02
1.912553684146183223e-04,2.268834807658484665e-02
4.384485049066766090e-04,2.274320071380483976e-02
7.709959513012911185e-04,2.278064022094534666e-02
1.002951401454080889e-03,2.264868917172591090e-02
1.057390955075610244e-03,2.317950910100000442e-02
1.206755522113727363e-03,2.368445106352270318e-02
1.452186249400108480e-03,2.422283463305040935e-02
1.476562962907685718e-03,2.488372636856739373e-02
1.585706985570374756e-03,2.464364016724967382e-02
1.749029299163048102e-03,2.451791266157011054e-02
1.799136441133504516e-03,2.433573205426596553e-02
1.816449324990159495e-03,2.421048307409823588e-02
1.839012833761991201e-03,2.404792802570454927e-02
1.830902765060414246e-03,2.390714777883591255e-02
1.824783351558243848e-03,2.382366877420005746e-02
1.822519582516947097e-03,2.381691241565619607e-02
1.819355165340831668e-03,2.381492275171471704e-02
1.816762188935492229e-03,2.382116620434517745e-02
1.813643611436329284e-03,2.380307083399832088e-02
1.809771183511697541e-03,2.370838401301289880e-02
1.805483956787777566e-03,2.333027594777011340e-02
1.802530610785557435e-03,2.332382075804082661e-02
1.807184575062298869e-03,2.309738715308289406e-02
1.836699938640212661e-03,2.301715109296242553e-02
1.930053556174005222e-03,2.300999835950689673e-02
2.106215848842705584e-03,2.303015303212214634e-02
2.154196471526832919e-03,2.306280528699746618e-02
2.405359202342419438e-03,2.313099469569200942e-02
2.358939348463489835e-03,2.313048513236845224e-02
2.429364176759733415e-03,2.314589663578788328e-02
2.498443628389013065e-03,2.314840236570394477e-02
2.510521897511607935e-03,2.314366772172098130e-02
2.541332540797251478e-03,2.313411130805021962e-02
2.589026981182800287e-03,2.309820531511067726e-02
2.665043899185637593e-03,2.303012411170714951e-02
2.706402980909445363e-03,2.291281606672145726e-02
2.729592602203022127e-03,2.264483115881348735e-02
2.738076224561415348e-03,2.212200647232447082e-02
2.750081764980311441e-03,2.148689286138903351e-02
2.764553867154780596e-03,2.034545224322680326e-02
2.803215369978462757e-03,1.960431895762967947e-02
2.868721530463512817e-03,1.902238702857803401e-02
2.979408705784252452e-03,1.839709036292692251e-02
3.128103980856576215e-03,1.794258024877701599e-02
3.173996176001169910e-03,1.740448279693132191e-02
3.299645167534147935e-03,1.713450003246445863e-02
3.173075391157185662e-03,1.692422993075110710e-02
3.072882345100383470e-03,1.658320668442521753e-02
3.113054070601262765e-03,1.617653101264309931e-02
3.027912125579760791e-03,1.529789978841205808e-02
2.954638658961156791e-03,1.544479185626647551e-02
2.825594439267295997e-03,1.516953141363615136e-02
2.718699145090468922e-03,1.374962033120359119e-02
2.584553407179535165e-03,1.440686349226532985e-02
2.448790359333776010e-03,1.404237731903791239e-02
2.195776839634010300e-03,1.386808477272455722e-02
2.054602263473995650e-03,1.319683912939574426e-02
2.023737231349208299e-03,1.341133171527155755e-02
1.829026798690376295e-03,1.333777028124262520e-02
1.874610834469569911e-03,1.275786412935820541e-02
1.821153652842581261e-03,1.281915994949984518e-02
1.693790690897230191e-03,1.269722193068634902e-02
1.655486838528079287e-03,1.261185067667987790e-02
1.619483067893050243e-03,1.249120293941240363e-02
1.604338715114252394e-03,1.244326132036066394e-02
1.596851120437381031e-03,1.234010501735801138e-02
1.583395000733622826e-03,1.211703056667499251e-02
1.569394225167645160e-03,1.185269597344264583e-02
1.541836858100906508e-03,1.177266761087430655e-02
1.502872166835178417e-03,1.166247122357696661e-02
1.453385196607011884e-03,1.131835620561190414e-02
1.424512635103192433e-03,1.089638581804807001e-02
1.428681897342440376e-03,9.928153552586934869e-03
1.441151358960848783e-03,9.802087090730722541e-03
1.448421924034488115e-03,8.817813260312419923e-03
1.457701339502997812e-03,8.911605755316433924e-03
1.468843384037339314e-03,8.558392251217683544e-03
1.484689604837602503e-03,8.145928845529037607e-03
1.503260950355748493e-03,8.025583710683202587e-03
1.583896400063293476e-03,7.233439644263063399e-03
1.493159716915085870e-03,7.042038064767838258e-03
1.174289189864312659e-03,6.842775355773389641e-03
8.703002295857500004e-04,6.415019897407078439e-03
1.007956498099172975e-03,6.199052204263533206e-03
1.047915651466011953e-03,5.860839778275461071e-03
1.037265980776191270e-03,5.696545438214846262e-03
1.061897116133713338e-03,4.953734702321603220e-03
1.079454481813947771e-03,5.052757610239230410e-03
1.187578546905810684e-03,4.913809348160822973e-03
1.191946446876072973e-03,4.614404110505610640e-03
1.303281973276913591e-03,4.509080012390450157e-03
1.104433125565658282e-03,4.417898035875593259e-03
9.776489566629164348e-04,4.176836535910373981e-03
8.171924265392935824e-04,4.236059145381210027e-03
4.927632417762133196e-04,4.142060010366920356e-03
2.310757901288335828e-04,3.953558881967344889e-03
3.965455799827025899e-04,3.958380039841140861e-03
5.096426675388068209e-04,3.692365998946711345e-03
5.127301581696496651e-04,3.564243770660317605e-03
6.967597145008810151e-04,3.304713632195824691e-03
1.122296342062886971e-03,3.285972459220634460e-03
1.383906376634368510e-03,3.165429154829965674e-03
1.832177807373830273e-03,2.718594979401999564e-03
1.608395148959855612e-03,2.743952039936630848e-03
1.765959085648101346e-03,2.615848557511028707e-03
2.160084236244396057e-03,2.244763650572814684e-03
2.142537858231458470e-03,2.304139834752612706e-03
2.289581067214186208e-03,2.183917096692982243e-03
2.423326579324646367e-03,1.820485981824882405e-03
2.601023412937121179e-03,1.919107024853921413e-03
2.935139770874272205e-03,1.821374693063216145e-03
3.000576259703412012e-03,1.519297417089445195e-03
3.293876148540810130e-03,1.628054399232163694e-03
3.353810469582598538e-03,1.379275314430808766e-03
3.445746481309759374e-03,1.347142910484091290e-03
3.575703889219909032e-03,1.193623632376300840e-03
3.774647785852041759e-03,1.212251344264812097e-03
3.800150736072805107e-03,1.127798472179668797e-03
3.939325988465752423e-03,1.126930729104644010e-03
3.908485515259218709e-03,1.088465442366982070e-03
3.942292769086096910e-03,9.998689651905601824e-04
4.009244595766491177e-03,8.417519261451253919e-04
3.971690103467816722e-03,6.888875493768560794e-04
4.000308385534135161e-03,5.454077828333255386e-04
4.011258356763319592e-03,4.527815200890429864e-04
4.015391615804429250e-03,3.393666694281358251e-04
4.032988049488693896e-03,2.859956750838967042e-04
4.073391825535913925e-03,1.913444661025066375e-04
4.145694240499320227e-03,1.477173595944048260e-04
4.249238332791906679e-03,1.315384534378675487e-04
4.466284331643177383e-03,1.234437045720101545e-04
4.798561184300148726e-03,1.671692406092319724e-04
4.924395407645812753e-03,2.847625331150157647e-04
5.096236691036605190e-03,3.091551019463451683e-04
5.734938082672399497e-03,3.983126860912958138e-04
5.960842165836349044e-03,4.058794741347373255e-04
6.609981289898219162e-03,5.926993010449560246e-04
6.975424271798862097e-03,5.467878046331863277e-04
7.967314318868004563e-03,6.463211233235745994e-04
8.285108662250425735e-03,7.470970803557932605e-04
8.843568833413015251e-03,8.322236287752069134e-04
9.043794671075276043e-03,1.164490650556125042e-03
9.880190650176217185e-03,1.168547671283350119e-03
1.010702305162333378e-02,1.290203522936047729e-03
1.062555886970458462e-02,1.346871962146364453e-03
1.077767856208423913e-02,1.601242539025744512e-03
1.106019851175076875e-02,1.524646705606597184e-03
1.157956710579261667e-02,1.637368716847932299e-03
1.196457613113192063e-02,2.102742682596975363e-03
1.224253025244028195e-02,1.894377954707691849e-03
1.362593454675396255e-02,2.119628329758468932e-03
1.293329219211055391e-02,2.207882394775351285e-03
1.315500066141202240e-02,2.325889152764924230e-03
1.368297907939201689e-02,2.642657881700490475e-03
1.394420910241293485e-02,2.564226355097844537e-03
1.414192128051095648e-02,3.160526001563881277e-03
1.530820875386004407e-02,2.906546061374515148e-03
1.497230243543373404e-02,3.120953256026702538e-03
1.535956002090196199e-02,3.359627094923791930e-03
1.601892749336194383e-02,3.308463834661652062e-03
1.596873722156952682e-02,3.901116305942009185e-03
1.621858414322788558e-02,4.028776553812059118e-03
1.704499150615185893e-02,3.942570772643319392e-03
1.760239143046724020e-02,4.000319175743012601e-03
1.798690913997688656e-02,4.241621790954852936e-03
1.893058356342338169e-02,4.217283877449342841e-03
1.856703953877053906e-02,4.472297624720338038e-03
1.932851471946599176e-02,4.664528739781615557e-03
1.934949901279305398e-02,5.015909863888341758e-03
1.939889165863462397e-02,5.050655449770690558e-03
2.039907813397145303e-02,5.335105840099709125e-03
1.969169574771332740e-02,5.315771753571944813e-03
1.982173313638774595e-02,5.501796578408987143e-03
1.998255230738354635e-02,5.582839109080214510e-03
1.965910090390997692e-02,5.779289141340068943e-03
1.924851821788450476e-02,5.732266242973203807e-03
1.827548257409116611e-02,5.882550607672418740e-03
1.867154133005194047e-02,5.826757962477435542e-03
1.850372589349049898e-02,5.897391372000706372e-03
1.730126403084570469e-02,5.998410600483308069e-03
1.786934499364538700e-02,5.980683626571653595e-03
1.688744370946075948e-02,5.958597993831899961e-03
1.744633007441042175e-02,5.997560369682802470e-03
1.737648998333948119e-02,5.972075208710686187e-03
1.730170666989492775e-02,6.018611246942499535e-03
1.755183099712065778e-02,6.039385043923413930e-03
1.751473898499584028e-02,6.018012392443938124e-03
1.755030472444435788e-02,5.953285115643791418e-03
1.751977441441166655e-02,5.927563194941186733e-03
1.755308862221817770e-02,5.965298669550607620e-03
1.764216431685628958e-02,5.948773985734547888e-03
1.772818481130016693e-02,5.852574397926324848e-03
1.834248892955974569e-02,5.860660984593335857e-03
1.836000888084724988e-02,5.889520172765757948e-03
1.831177739421580020e-02,5.894781729232120848e-03
1.861753347899589364e-02,5.893240421860208335e-03
1.843815112552239788e-02,5.886338231202178570e-03
1.805722670698621871e-02,5.873652230407654801e-03
1.788875923722057712e-02,5.854103200373895685e-03
1.756587974956220002e-02,5.838415650515937569e-03
1.716499107045756783e-02,5.820656554106902296e-03
1.693957006070076834e-02,5.819009160645367655e-03
1.716685337216674115e-02,5.810187270178327271e-03
1.714249306394646788e-02,5.812516970112958925e-03
1.692476207651698664e-02,5.811481651497241857e-03
1.599578448981046550e-02,5.806555013349901616e-03
1.530506643932503207e-02,5.800540332105654472e-03
1.469847837500124106e-02,5.782949852788918377e-03
1.366161632339112607e-02,5.745840675665701662e-03
1.317256677824412206e-02,5.685954120991172818e-03
1.334770382121586683e-02,5.617316583190000434e-03
1.295421834915985726e-02,5.564093404062184743e-03
1.234718100941640216e-02,5.538673570208029265e-03
1.207647869650651726e-02,5.539432000225658417e-03
1.157664290117816144e-02,5.530784488297482704e-03
1.089204327385075860e-02,5.514360153387762829e-03
9.289517903903974846e-03,5.481781859344969123e-03
9.136426027071679543e-03,5.450684687167735819e-03
7.746255374115150819e-03,5.413417012905220524e-03
7.134939443213520437e-03,5.395240647640332787e-03
6.890983997728143857e-03,5.380580487606903030e-03
6.380340730877287481e-03,5.364566832704816858e-03
5.057924704825556526e-03,5.356872649585686826e-03
4.594795556373637742e-03,5.323190058380604384e-03
4.007961008733971001e-03,5.265421324268155026e-03
3.903345490920522454e-03,5.250034840681400139e-03
3.800993472869352956e-03,5.095386440266917900e-03
3.690810196776657566e-03,5.119895216016663066e-03
3.642212426250819070e-03,5.023819993307409096e-03
3.601323511214925450e-03,4.993081852833611799e-03
3.739608737333652635e-03,4.943061981309952030e-03
3.959224702314768744e-03,4.802620123273137857e-03
4.264650504139338820e-03,4.817916002758820294e-03
4.193741840524999390e-03,4.547370825272894525e-03
3.964683919314569011e-03,4.669102921819813685e-03
3.379020915062180917e-03,4.641557398992426919e-03
2.749414719721567438e-03,4.504414983713709436e-03
1.707081447501689183e-03,4.398013557984901435e-03
1.645566305661175406e-03,4.332543456838181331e-03
1.453721843786556951e-03,4.258772029720417178e-03
3.182360992285058988e-04,4.295034305429080990e-03
3.196654998679736293e-04,4.232053794263559814e-03
1.436176747780642041e-03,4.209324090592026467e-03
2.105058171655667908e-03,4.268732792973311055e-03
2.018405118234446998e-03,4.394499345774248271e-03
2.469465744676028422e-03,4.414257920510690665e-03
2.971375215801648310e-03,4.512230272674251988e-03
2.919516461675414950e-03,4.441287299150850285e-03
3.015719087158891688e-03,4.484024424120795424e-03
3.462363890527838522e-03,4.551065457072971457e-03
4.131948838413257961e-03,4.596673843858092683e-03
3.993262232978534061e-03,4.657280862812312669e-03
4.326123777071273942e-03,4.723281435874106954e-03
4.422362589486888117e-03,4.849123500113659141e-03
4.201514733018437558e-03,4.828126916353420520e-03
4.236124849541206445e-03,4.972526660504091207e-03
4.152581179088143427e-03,4.967292210100514999e-03
3.714803099150272656e-03,4.979288383750326771e-03
3.667756146073621396e-03,5.039573255610797602e-03
3.374786931460563907e-03,5.003853003947842867e-03
2.990121374071583269e-03,5.009201373626336919e-03
2.452229360462591847e-03,5.020798986548455703e-03
2.121713975102234966e-03,5.013499539639127041e-03
1.794317787592670469e-03,5.000061926886261408e-03
1.165731056889854952e-03,4.999815389645360583e-03
1.610127289341983141e-03,5.004489626950688400e-03
1.466100652831664073e-03,5.022343423371869106e-03
8.726324832745184154e-04,5.052262225243313656e-03
8.141577298843519911e-04,5.084632475949217925e-03
1.607435745185073527e-03,5.110832427983083050e-03
1.535564706178397121e-03,5.118171976893117966e-03
1.661764021814006800e-03,5.122686055210191880e-03
1.850641602903767800e-03,5.135314947666207858e-03
1.956748357327156053e-03,5.163717826290699885e-03
2.233786837818674438e-03,5.210709595252658796e-03
2.907317646352082941e-03,5.268462505857469426e-03
2.556888337011700013e-03,5.303849656456875207e-03
2.496849409581764108e-03,5.342630409232590645e-03
2.870882561710116302e-03,5.348295369031085510e-03
3.317728153008436907e-03,5.405043218500108632e-03
3.644407606457279909e-03,5.452767956884254849e-03
4.135969208376486829e-03,5.425824077526458442e-03
3.906620122975541613e-03,5.454305250185845569e-03
3.843894164293698047e-03,5.500760827044505301e-03
4.291703728462571525e-03,5.489408573321219800e-03
4.622401062962267285e-03,5.554400708075855897e-03
4.782404714526101129e-03,5.544774487201989399e-03
4.918089589830047272e-03,5.552045074646769045e-03
5.179773518264364947e-03,5.552218132668796345e-03
5.977820495800759831e-03,5.556281376708676126e-03
5.912326745913551278e-03,5.563686554149937721e-03
6.345663130083522598e-03,5.567268001412523093e-03
6.553719902281209334e-03,5.567306635309241143e-03
6.579829485490644794e-03,5.565407756717481724e-03
6.897781126076593140e-03,5.562296008404089484e-03
7.186658419117108489e-03,5.557196681475377355e-03
7.686711503709722088e-03,5.548399471602240632e-03
7.597512345828206191e-03,5.533355008943726186e-03
7.745511302431504382e-03,5.507840427960321653e-03
7.862292396711406672e-03,5.466124803936217233e-03
8.201512477496387260e-03,5.415417245294410278e-03
8.506235339471215906e-03,5.410139912225921978e-03
9.440826267484476661e-03,5.325031994404986341e-03
9.443590285191117220e-03,5.341278685372664523e-03
9.806157456834543526e-03,5.360676415650455877e-03
1.036101205381375831e-02,5.376437538397905655e-03
1.074247292832847082e-02,5.359482099680831779e-03
1.141483582553821235e-02,5.346073675473600462e-03
1.197053088013848819e-02,5.323158695337290060e-03
1.221903578508067544e-02,5.174009968070714116e-03
1.348482435225653933e-02,5.142729734044903384e-03
1.297333412995108418e-02,5.104517154250223961e-03
1.325308395676172944e-02,5.113920425638579167e-03
1.351121037328625873e-02,5.079359253069087692e-03
1.398253883587110245e-02,4.996151422085750790e-03
1.490176037511322001e-02,4.959984772720330178e-03
1.499305470900187849e-02,4.946467327769736230e-03
1.525030917001609677e-02,4.853819334395532634e-03
1.551060793798099240e-02,4.808354066658792995e-03
1.530112450842526992e-02,4.748435108855384411e-03
1.530250231301255592e-02,4.687837113131476663e-03
1.521984676127484046e-02,4.630494721115924542e-03
1.501527953816873644e-02,4.597766125999600169e-03
1.424881359076638626e-02,4.487104783931619711e-03
1.367017885420687175e-02,4.467979709041402375e-03
1.351750597922206018e-02,4.392237715482964766e-03
1.318717202140738329e-02,4.401245679092244054e-03
1.299475908039747149e-02,4.347619622208554260e-03
1.262451429505787905e-02,4.314469592567622171e-03
1.254815699039946338e-02,4.201573512849387203e-03
1.208780734683072115e-02,4.249013221576104955e-03
1.185273961155648356e-02,4.229908128194933073e-03
1.158181670558033720e-02,4.185172164082102096e-03
1.164092268556183273e-02,4.087638737391931579e-03
1.143127901513519423e-02,4.114118658230681708e-03
1.147444533459201534e-02,4.077429678591730153e-03
1.154813039098697737e-02,4.061138991307200116e-03
1.193054831361836654e-02,3.982214674346222505e-03
1.202914908720092990e-02,3.977454159478402765e-03
1.209260120685723416e-02,3.902517385894386202e-03
1.227510022383676569e-02,3.768136249097570317e-03
1.222801074293743129e-02,3.782410859550295462e-03
1.255658201827211315e-02,3.750526635265537777e-03
1.240205228801857622e-02,3.669053156574700065e-03
1.211853748101672859e-02,3.677414847017605303e-03
1.214780611745656762e-02,3.617712675056510181e-03
1.255283007641437749e-02,3.408884795568453609e-03
1.249915468223420853e-02,3.389632248842109740e-03
1.224399775566280442e-02,3.254600240444277190e-03
1.246109337853510378e-02,3.326983200945302869e-03
1.297328826337463929e-02,3.270562264627253565e-03
1.299214399752550951e-02,3.252395659293260115e-03
1.270467126362317609e-02,3.160649863281537585e-03
1.277203458922811057e-02,3.181130249271105388e-03
1.299538669342651179e-02,3.175154941480655500e-03
1.285321702755479190e-02,3.089209293190748468e-03
1.249064697848984058e-02,3.070523363987553121e-03
1.253694903060565378e-02,2.924125367114647784e-03
1.257795869025856578e-02,2.801311093280800957e-03
1.257872784308251835e-02,2.632489738836718378e-03
1.253603650706974597e-02,2.424309954773585206e-03
1.251009983285503863e-02,2.465468050619092858e-03
1.254788109043892923e-02,2.376298187833075694e-03
1.254003911513232490e-02,2.116598192552479087e-03
1.253977251010000848e-02,2.190865171983087667e-03
1.257645384756728851e-02,2.179572989421882379e-03
1.262562302581331924e-02,2.069770838667991681e-03
1.284362670539473082e-02,2.007223572839330911e-03
1.318199494360966853e-02,1.937150635257507952e-03
1.415548976093868733e-02,1.800036549571478904e-03
1.448220746117875705e-02,1.786712685165643168e-03
1.436528819252080001e-02,1.665029170730684309e-03
1.460673648504887991e-02,1.628643960323946163e-03
1.473968555339244361e-02,1.367503174930806116e-03
1.478462329527028239e-02,1.266227687550105369e-03
1.505433315098410330e-02,1.129288338478687346e-03
1.520021613230594128e-02,1.108230176859922086e-03
1.515239195554345976e-02,8.813078566069403388e-04
