# error_dp, error_pinn
4.222430348615049261e-02,4.227098621919391647e-02
4.218038672853584997e-02,4.218038678936172209e-02
4.218038616962389159e-02,4.218038664545760430e-02
4.218047569210810893e-02,4.218038960522813713e-02
4.218038809524623373e-02,4.218038467246549433e-02
4.218029752290029799e-02,4.218020331815945656e-02
4.218023421164316528e-02,4.218014077221331898e-02
4.218017562570298279e-02,5.243742576970778640e-02
4.218008203794349625e-02,3.968650297757905093e-02
4.218154055282520576e-02,3.803962683449095550e-02
4.218631247558670555e-02,3.253816300886310658e-02
4.218049427978887156e-02,2.366267717967823758e-02
4.217424522339516951e-02,1.675159624761429766e-02
3.939121997069498088e-02,1.534133134471262622e-02
3.943322475565708141e-02,1.565213398558080310e-02
1.809541499315503454e-02,1.592551548175338491e-02
1.644286003145365230e-02,1.598904629264953983e-02
1.529973680684390547e-02,1.686438246264971089e-02
1.513904140471822833e-02,1.546116158324231660e-02
1.512725505842583626e-02,1.794054332745341485e-02
1.558125525195501807e-02,1.400704329833280838e-02
1.569575767581875281e-02,1.585821088301293466e-02
1.502924076704811526e-02,1.368463778466382126e-02
1.487574196354236357e-02,1.083860026779885112e-02
1.473163486084814316e-02,1.275963013321238654e-02
1.553718860098884588e-02,1.048216397396457139e-02
1.555088051880551374e-02,1.779152215477640062e-02
1.547905332530929642e-02,1.769809414677173121e-02
1.524824465638749058e-02,1.774770800572895990e-02
1.494164170262582934e-02,1.827053809528462677e-02
1.401405517935663640e-02,1.999491978553679175e-02
1.354274085284905629e-02,2.794221947540416126e-02
2.207136815664028501e-02,2.261892598979888674e-02
1.236828972491282007e-02,2.185240605386648549e-02
1.092606993132611524e-02,1.853274767264543460e-02
1.167051747771783235e-02,1.806422929803840061e-02
1.071333966216388850e-02,1.569799616790715224e-02
1.005305767124660236e-02,1.095345450832025010e-02
9.400872686906262127e-03,1.013055905721469731e-02
3.319283226038840552e-03,7.560987777466106168e-03
2.531498533131286161e-03,6.490362627457145657e-03
1.476078030983475793e-03,5.518676147979420521e-03
2.300101851217653797e-03,4.942836132248782169e-03
2.429935596187659391e-03,4.101509783168748313e-03
2.481040001202090405e-03,3.745092321110116140e-03
2.726083461010470489e-03,3.397917699038348338e-03
2.067253098504678605e-03,3.089289361313256061e-03
2.512944072125412008e-03,2.728117434157342844e-03
3.045854134833465756e-03,2.459059020737065261e-03
3.370988706479636620e-03,3.338066380513878429e-03
3.702106926948022392e-03,2.571823498535412162e-03
3.449875725323345906e-03,2.354147850731751982e-03
3.477943348437032099e-03,3.047297880458208538e-03
3.542288182137062584e-03,2.172420935011716916e-03
3.474468618511022868e-03,2.211431906176277058e-03
3.548731547018488079e-03,2.799903591914934455e-03
3.537227278858657079e-03,4.274315814467656398e-03
2.815696066183731149e-03,7.121637716254832461e-03
1.975196596514624831e-03,9.916569877339225653e-03
1.184648543612652457e-03,1.399009074477919508e-02
8.425859309380119783e-04,1.416166410664865608e-02
2.024774991728491447e-03,1.528552930822125316e-02
2.729223511516859924e-03,1.808590728782715970e-02
3.684293977678920404e-03,1.764619554148965860e-02
4.813011945341795148e-03,1.856392106804904615e-02
6.133968214151668680e-03,2.038859635554266664e-02
6.770697998444399207e-03,2.072911148864237801e-02
5.708090144297519979e-03,2.143733528148978468e-02
5.420615239722323744e-03,2.199381280448126780e-02
5.312277590179015699e-03,2.269143750074507915e-02
3.909803591962136317e-03,2.361292398630525369e-02
4.041473798358012799e-03,2.518051099240305873e-02
2.808366475730398291e-03,2.691538180308452460e-02
7.588465786130607627e-04,2.787821861878632054e-02
1.153247972767321161e-03,2.761456657923429606e-02
9.811212986015121693e-04,2.766620163576774191e-02
1.333371438476229362e-03,2.743633920115286229e-02
3.310353262057721697e-03,2.729459864698864993e-02
4.311235079232055879e-03,2.412142692729242824e-02
8.050496611729414387e-03,2.471500558514451093e-02
6.876876245994328722e-03,2.546386950468503343e-02
1.167754665784709149e-02,2.565478443012970261e-02
1.404525589454853896e-02,2.619388993248833106e-02
1.277583978177629191e-02,2.658942876275376122e-02
1.080723458676135541e-02,2.826280013594265755e-02
1.029598729948235161e-02,3.062186910678636395e-02
1.007273976790913975e-02,3.128835798481412189e-02
8.950149784202806116e-03,3.783747274256663018e-02
5.069367869625206018e-03,3.760277284594299579e-02
6.688287353672050205e-03,3.631610638256304452e-02
5.836736335310893989e-03,3.649727924889467623e-02
5.361270569107168087e-03,3.643125697910791494e-02
4.098645750141119079e-03,3.628969548567878567e-02
4.624039070165362163e-03,3.629771908598165842e-02
4.677012529857052688e-03,3.624914883139220695e-02
4.585752900974433312e-03,3.621855998880595118e-02
4.671942841977114874e-03,3.620785907647724317e-02
4.720971179561918307e-03,3.624236026463192872e-02
4.794689078089714798e-03,3.632230709011975700e-02
4.785403282106975506e-03,3.640819252255664273e-02
4.617092760830224935e-03,3.655556080597674451e-02
4.193665920388591796e-03,3.674097461675179810e-02
3.292408711423907338e-03,3.711143316900598205e-02
2.301263804827158917e-03,3.772334176870067307e-02
2.140355645476881615e-03,3.854076454331319124e-02
1.087381773067443071e-03,3.926255024655087716e-02
9.695015608368851793e-04,4.001963278054292833e-02
1.252138769364035016e-03,3.998567088138899744e-02
1.040998403045056975e-03,4.110693108039604332e-02
1.729822453359860070e-03,4.069443470851871747e-02
2.169956575039517100e-03,4.098184111478182790e-02
2.538419817125928211e-03,4.123718166862831713e-02
2.465182022122907896e-03,4.213716042557262564e-02
2.267189385231238585e-03,4.179356196810118246e-02
1.128078727180182629e-03,4.294096980985959155e-02
1.554478964962265671e-03,4.264951390813424836e-02
1.035031494855686001e-03,4.284865927978199346e-02
1.159673853571407736e-03,4.345918712275341489e-02
2.366115242113708220e-03,4.339685048971930054e-02
1.943974717849103950e-03,4.346888595435002139e-02
2.026191599691742982e-03,4.368916934967650295e-02
2.555087238139953660e-03,4.370221997407282288e-02
2.559235312663081172e-03,4.374961980665927758e-02
2.982840728092430588e-03,4.377533163265930755e-02
3.118385477607308730e-03,4.378727471079464639e-02
3.478868509763199512e-03,4.378061539519935430e-02
3.300960978112101648e-03,4.375276079901569554e-02
3.177311224557464141e-03,4.370635127668795472e-02
