# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,1.138193921434391687e-01
6.716675773353356039e-04,8.136529404616510419e-04,6.716530307417982416e-04,1.136120932806929940e-01
6.725523072161238318e-04,9.556927945382209799e-04,6.724944433849230040e-04,1.134101383092516180e-01
6.735787361240504765e-04,1.097052249003249713e-03,6.734492666130883869e-04,1.132135494106586426e-01
6.747461874252359696e-04,1.237738838035795652e-03,6.745173038402149440e-04,1.130223489369271972e-01
6.760539920320717509e-04,1.377760123633553491e-03,6.756983638668543658e-04,1.128365594118316828e-01
6.775014884345348463e-04,1.517123695734978739e-03,6.769922609061479902e-04,1.126562035322377087e-01
6.790880227247796325e-04,1.655837172330310025e-03,6.783988146031207219e-04,1.124813041694294746e-01
6.808129486288262483e-04,1.793908199581473184e-03,6.799178500611279766e-04,1.123118843704484782e-01
6.826756275321131792e-04,1.931344451939098761e-03,6.815491978622259962e-04,1.121479673594584225e-01
6.846754285086324807e-04,2.068153632262648145e-03,6.832926940911824816e-04,1.119895765390909181e-01
6.868117283495965173e-04,2.204343471938541299e-03,6.851481803590779400e-04,1.118367354918381462e-01
6.890839115918611897e-04,2.339921731005389915e-03,6.871155038267216320e-04,1.116894679814351976e-01
6.914913705471879011e-04,2.474896198272347192e-03,6.891945172289678416e-04,1.115477979542603970e-01
6.940335053300544267e-04,2.609274691444340988e-03,6.913850788976380786e-04,1.114117495407479508e-01
6.967097238873718118e-04,2.743065057246196758e-03,6.936870527864125169e-04,1.112813470568169150e-01
6.995194420269983462e-04,2.876275171546760490e-03,6.961003084945772751e-04,1.111566150052945012e-01
7.024620834478068759e-04,3.008912939486352300e-03,6.986247212923862903e-04,1.110375780773817933e-01
7.055370797685044148e-04,3.140986295605774359e-03,7.012601721452383762e-04,1.109242611541046974e-01
7.087438705561847170e-04,3.272503203968879504e-03,7.040065477376484995e-04,1.108166893077918713e-01
7.120819033579358064e-04,3.403471658299794811e-03,7.068637405003334265e-04,1.107148878035585371e-01
7.155506337288696384e-04,3.533899682107488616e-03,7.098316486337881339e-04,1.106188821008061707e-01
7.191495252628889384e-04,3.663795328822994080e-03,7.129101761346572910e-04,1.105286978547374011e-01
7.228780496215968026e-04,3.793166681925530526e-03,7.160992328203140151e-04,1.104443609178806796e-01
7.267356865664155365e-04,3.922021855084611985e-03,7.193987343567158441e-04,1.103658973416283828e-01
7.307219239860918885e-04,4.050368992285058312e-03,7.228086022817034823e-04,1.102933333777811331e-01
7.348362579300374590e-04,4.178216267973100528e-03,7.263287640342072551e-04,1.102266954801279786e-01
7.390781926363729996e-04,4.305571887187609192e-03,7.299591529782218551e-04,1.101660103060109197e-01
7.434472405638249898e-04,4.432444085702869074e-03,7.336997084306902872e-04,1.101113047179249627e-01
