# loss_dp, loss_pinn
5.038351168194198371e-01,2.040698718009178667e-03
5.038226692384484284e-01,2.032672005381276278e-03
5.038208865854556517e-01,2.029872794256598698e-03
5.038208863169052476e-01,2.029872776895777151e-03
5.038208847745486718e-01,2.029872660111787554e-03
5.038208799706020979e-01,2.029870502601695097e-03
5.038208711801217543e-01,2.029857304510054687e-03
5.038208551184852890e-01,2.029852041390162957e-03
5.038208463094978606e-01,1.800690374951572584e-03
5.038208086907125516e-01,1.724954895015367922e-03
5.038207271231128770e-01,1.663699788409342406e-03
5.038207020494945843e-01,9.326493816695101456e-04
5.038204829735302148e-01,8.292173536660146999e-04
5.038198203831658617e-01,6.253832513243001018e-04
5.014625115646934583e-01,6.169797301182809680e-04
5.014624513757846014e-01,6.122652204032148510e-04
5.009056962354232478e-01,6.042005629294580887e-04
5.008140865797259256e-01,6.021832919155633949e-04
5.007359763850544043e-01,5.976556917189185768e-04
5.007333443042749632e-01,5.787762911485292523e-04
5.007327955986777823e-01,5.380939786807671914e-04
5.007289953389777448e-01,4.981476457986912156e-04
5.007194642568081333e-01,4.293934620252848658e-04
5.007085613288277948e-01,4.285764790873355695e-04
5.007027319779676633e-01,3.112215937489449559e-04
5.006970789457126925e-01,3.031378692501720401e-04
5.006437250580960674e-01,1.607602777511094917e-04
5.006244237350552240e-01,1.061370242240322484e-04
5.006099109139694470e-01,1.046162954645408030e-04
5.005883961395122261e-01,1.010148809743836862e-04
5.005688847683740228e-01,9.829090179561010608e-05
5.005471203507200206e-01,8.963171622412610521e-05
5.004675822510328276e-01,7.902908286499377545e-05
5.002801404090635451e-01,6.671816263497151029e-05
5.002209507361479179e-01,5.885768810108936845e-05
5.000919500559887210e-01,5.608287825155453942e-05
5.000457288213472351e-01,5.505275902370238440e-05
5.000288616380036411e-01,5.332109846924066194e-05
5.000255991657505117e-01,5.148598797461710109e-05
5.000237875487094641e-01,4.905859955679015759e-05
5.000177601695834362e-01,4.552604998092093619e-05
5.000112576863706693e-01,4.471293548144278601e-05
5.000059824992343360e-01,4.435525810262514693e-05
5.000057403440199000e-01,4.412046578353240144e-05
5.000056471558932403e-01,4.399308794401019163e-05
5.000056438104342194e-01,4.390534936162243646e-05
5.000056319199159827e-01,4.376283777958980728e-05
5.000054203306503187e-01,4.345924122895805165e-05
5.000052333043121244e-01,4.270359554286029394e-05
5.000050577640304805e-01,4.026654040912179333e-05
5.000049568662046084e-01,3.658408287629840827e-05
5.000049163724202828e-01,3.226377611903536493e-05
5.000048749576730955e-01,2.898462294280747129e-05
5.000048596465904716e-01,2.157032528262531020e-05
5.000048422814401539e-01,1.865714269470448294e-05
5.000048253455965375e-01,1.302933756304322400e-05
5.000048219506084690e-01,1.180569941053873972e-05
5.000048139478333598e-01,9.814974559833719900e-06
5.000047627726768029e-01,8.062489479694799895e-06
5.000046532505906249e-01,4.891140934900912821e-06
5.000046170979519644e-01,3.845282185281779398e-06
5.000045499952020522e-01,2.701120030115228125e-06
5.000045145823802661e-01,2.078851951837863385e-06
5.000044873918541022e-01,1.832005834961497995e-06
5.000044613715011188e-01,1.414969129463354485e-06
5.000044160707978191e-01,1.238013117098062788e-06
5.000043389130657268e-01,1.093880808454005072e-06
5.000041849766528879e-01,1.055629618556999100e-06
5.000040133283278898e-01,1.030353593310928241e-06
5.000038840925893346e-01,1.013114514942493150e-06
5.000038643375563918e-01,9.897256773891969196e-07
5.000037684373761504e-01,9.497009457712719125e-07
5.000036646823070585e-01,8.677592859653924442e-07
5.000035226539774058e-01,7.497101729735837424e-07
5.000034629575975664e-01,6.291744000962968876e-07
5.000034158488859681e-01,6.086748031888632168e-07
5.000033473655273175e-01,6.074609349126466220e-07
5.000032306124140291e-01,6.053903606207957730e-07
5.000031403686500120e-01,5.943713187644178115e-07
5.000031054159079780e-01,5.580674446315152204e-07
5.000030656806838669e-01,5.379468558760742093e-07
5.000029735624367255e-01,5.240879513883161221e-07
5.000026988878689682e-01,5.195538553416073006e-07
5.000019994664410827e-01,5.139525114800220112e-07
5.000017290467489994e-01,5.078392545987519405e-07
5.000016757119802868e-01,4.869054171447753035e-07
5.000015977471035100e-01,4.618758987013848908e-07
5.000014886925396862e-01,4.001050141731497004e-07
5.000013715773562462e-01,3.633723054118678657e-07
5.000013211773082222e-01,2.818832700021017372e-07
5.000011306372240671e-01,2.083346034812657588e-07
5.000010386408907381e-01,2.005558903471030745e-07
5.000009932105722310e-01,1.951272346017557632e-07
5.000009499470609020e-01,1.923097755375124810e-07
5.000009039947490574e-01,1.905194556168100503e-07
5.000008800209430060e-01,1.878033376569968265e-07
5.000008544621155071e-01,1.867120955323200379e-07
5.000008406574463216e-01,1.859230219862194261e-07
5.000008328853727813e-01,1.853155312269240533e-07
5.000008260190523801e-01,1.848537228993683266e-07
5.000008158144970682e-01,1.844967866474092306e-07
5.000007992477840668e-01,1.839675881813026752e-07
5.000007796087618805e-01,1.832314766151751092e-07
5.000007490412257116e-01,1.815284125667166263e-07
5.000007401317820843e-01,1.782703688404035172e-07
5.000007020075785125e-01,1.727557285447001882e-07
5.000006591180461424e-01,1.636315672147400145e-07
5.000006330005821731e-01,1.503910361123778047e-07
5.000006029528967222e-01,1.458500886331655196e-07
5.000005877968115575e-01,1.415286026811596053e-07
5.000005656433075263e-01,1.375975178694889096e-07
5.000005527828624841e-01,1.346489141551035474e-07
5.000005431114724619e-01,1.325954523784005630e-07
5.000005410605474765e-01,1.315953318475166736e-07
5.000005383192307473e-01,1.274796941137556272e-07
5.000004968088062052e-01,1.244990482609249234e-07
5.000004791557191020e-01,1.216161914740589030e-07
5.000003894986174702e-01,1.198836694156275334e-07
5.000003477303095467e-01,1.184750015390843361e-07
5.000003184811365742e-01,1.170673564427209668e-07
5.000002572035535664e-01,1.163023306722996430e-07
5.000002283059152841e-01,1.160612051214636365e-07
5.000002086758199571e-01,1.159702853926579652e-07
5.000001926489783255e-01,1.159264557232346728e-07
5.000001696804413642e-01,1.159036775460868491e-07
5.000001464311248922e-01,1.158831330660158674e-07
5.000000990074534579e-01,1.158622038294571896e-07
5.000000777757031001e-01,1.158336483471576946e-07
5.000000650069222896e-01,1.157975601253729805e-07
5.000000605355088279e-01,1.157224254350923720e-07
5.000000512886917381e-01,1.155695996348811278e-07
5.000000453186679295e-01,1.152512802413509879e-07
5.000000366779668859e-01,1.147274036533929950e-07
5.000000283548066138e-01,1.138650414239200690e-07
5.000000239617955478e-01,1.128840504972369700e-07
5.000000219764436649e-01,1.125829049246816674e-07
5.000000197718592609e-01,1.123270192676398326e-07
5.000000159974342662e-01,1.120904924880472861e-07
5.000000078457661479e-01,1.120087646704868212e-07
5.000000043502861313e-01,1.119367547710160807e-07
5.000000010455100119e-01,1.118728656267416594e-07
4.999999963159464933e-01,1.118113450818540234e-07
4.999999941031780804e-01,1.117825285457890388e-07
4.999999900939516295e-01,1.117739364275735348e-07
4.999999880589250933e-01,1.117610193647936316e-07
4.999999863859446725e-01,1.117112837647426321e-07
4.999999842662423699e-01,1.112915140344248604e-07
4.999999814402302234e-01,1.091485238680874172e-07
4.999999804318402963e-01,1.065375670372438684e-07
4.999999775661971291e-01,1.053468423648482515e-07
4.999999751772568057e-01,1.038747788055881652e-07
4.999999740300450357e-01,1.027688349040873713e-07
4.999999727480518574e-01,1.023416792598510646e-07
4.999999723025156939e-01,1.020408143436475737e-07
4.999999715133079947e-01,1.018086609502233377e-07
4.999999690762169657e-01,1.016291369643103697e-07
4.999999687061943976e-01,1.014474802214725558e-07
4.999999680170297278e-01,1.013968308690817675e-07
4.999999669964686477e-01,1.013762546701665144e-07
4.999999659456219048e-01,1.013672177261043464e-07
4.999999646935100461e-01,1.013512664431516941e-07
4.999999640738936879e-01,1.013279784275407590e-07
4.999999637439327960e-01,1.013100014802503191e-07
4.999999633687617351e-01,1.013049369918008560e-07
4.999999631435246283e-01,1.013038764862836849e-07
4.999999627473904473e-01,1.013037354815717512e-07
4.999999623226238921e-01,1.013033804901461029e-07
4.999999614390734370e-01,1.013007345640142285e-07
4.999999609166224102e-01,1.012859588336030854e-07
4.999999605741104469e-01,1.011930557784771438e-07
4.999999598444401783e-01,1.009848369515974189e-07
4.999999591619307404e-01,1.006722374307076668e-07
4.999999587853114491e-01,1.005126044852280261e-07
4.999999578771435194e-01,1.002231064860719058e-07
4.999999575592656287e-01,9.997487449834376099e-08
4.999999570813756788e-01,9.967430622982850151e-08
4.999999563978656525e-01,9.952010118087478314e-08
4.999999555766231341e-01,9.936312663811606416e-08
4.999999550245993740e-01,9.917472349580229252e-08
4.999999548828674145e-01,9.887334925773698191e-08
4.999999541807783610e-01,9.872171095999430240e-08
4.999999541144345416e-01,9.842044070589021786e-08
4.999999538640098606e-01,9.818426355441600766e-08
4.999999537697861762e-01,9.794889512537784539e-08
4.999999536669718081e-01,9.776840885267559296e-08
4.999999535363115477e-01,9.753636524886352876e-08
4.999999534050594274e-01,9.738854411054364909e-08
4.999999533639687965e-01,9.728888710655285923e-08
4.999999532418132886e-01,9.711747878072139360e-08
4.999999529620334782e-01,9.690597667017600154e-08
4.999999527255874487e-01,9.675038179609197071e-08
4.999999522689494436e-01,9.664524431530413798e-08
4.999999515927461835e-01,9.658532681108320699e-08
4.999999500473474301e-01,9.648136413257623278e-08
4.999999473131735428e-01,9.644158834997977171e-08
4.999999462310448783e-01,9.643281155853358164e-08
4.999999446430049566e-01,9.639953099231204675e-08
4.999999429589142008e-01,9.637739555749161554e-08
4.999999391611774646e-01,9.635999858497240482e-08
4.999999376510838589e-01,9.631859263885476740e-08
4.999999360884449517e-01,9.626056930340586740e-08
4.999999342123897517e-01,9.617594569860638394e-08
4.999999332136496055e-01,9.614789008308214622e-08
4.999999325012570717e-01,9.607998161587409045e-08
4.999999315364137553e-01,9.605216991543077473e-08
4.999999300996330609e-01,9.604782692591277629e-08
4.999999285343955657e-01,9.604299031892722619e-08
4.999999272354849755e-01,9.603526238899549711e-08
4.999999269516149925e-01,9.603146304857835212e-08
4.999999267633842281e-01,9.602388757936403807e-08
4.999999264488808048e-01,9.601050680645864628e-08
4.999999263667706528e-01,9.599215664375914862e-08
4.999999263184238263e-01,9.598049003706156318e-08
4.999999262929710198e-01,9.597234331269255640e-08
4.999999262846659409e-01,9.596819705691928004e-08
4.999999262829050717e-01,9.596717670173542169e-08
4.999999262815576495e-01,9.596699209394225275e-08
4.999999262776722020e-01,9.596675353394898209e-08
4.999999262755103202e-01,9.596624107106255827e-08
4.999999262744683204e-01,9.596575806953863504e-08
4.999999262744360129e-01,9.596545506780361976e-08
4.999999262744145856e-01,9.596529791128786550e-08
4.999999262741415818e-01,9.596518899395793869e-08
4.999999262726575466e-01,9.596511633205264826e-08
4.999999262646945830e-01,9.596464319033846903e-08
4.999999262060687011e-01,9.596328787653987525e-08
4.999999261750329715e-01,9.595982412564648890e-08
4.999999261399736827e-01,9.595061908864319340e-08
4.999999260959494540e-01,9.592711933866058477e-08
4.999999260617262187e-01,9.589957429663001994e-08
4.999999259964671983e-01,9.584110502312684639e-08
4.999999259579546718e-01,9.572854000117635213e-08
4.999999259214742420e-01,9.569848762311833918e-08
4.999999258856057116e-01,9.567010956414201583e-08
4.999999258672734315e-01,9.565466317126884468e-08
4.999999258284708592e-01,9.562181922454345742e-08
4.999999258034905081e-01,9.558317013549269810e-08
4.999999257684805132e-01,9.552548467413504566e-08
4.999999257423793919e-01,9.551326807238796086e-08
4.999999257107513584e-01,9.548860729351828336e-08
4.999999256811928916e-01,9.545563196763070845e-08
4.999999256359419775e-01,9.543485589739393702e-08
4.999999256211445364e-01,9.539768054862003269e-08
4.999999256004693526e-01,9.538257498066429720e-08
4.999999255826091393e-01,9.535847857873842383e-08
4.999999255779000173e-01,9.533362051686238616e-08
4.999999255679174470e-01,9.531931363297205660e-08
4.999999255607019411e-01,9.529818967392095406e-08
4.999999255467948434e-01,9.528061649940775507e-08
4.999999255016033817e-01,9.526681542190214060e-08
4.999999254902291468e-01,9.525788840174714034e-08
4.999999254851495989e-01,9.524021909946016856e-08
4.999999254798324078e-01,9.523223437146351027e-08
4.999999254748055399e-01,9.522277559757868321e-08
4.999999254688192174e-01,9.520946410516474349e-08
4.999999254618940348e-01,9.520235172418382532e-08
4.999999254570325347e-01,9.519321140755054635e-08
4.999999254533469828e-01,9.518662840455695581e-08
4.999999254484845945e-01,9.517623876921421174e-08
4.999999254402478499e-01,9.517067466219972491e-08
4.999999254350498412e-01,9.516553712862132565e-08
4.999999254167758478e-01,9.515663144247698307e-08
4.999999254117221681e-01,9.514729045369503138e-08
4.999999253970456858e-01,9.514222754671389081e-08
4.999999253859194748e-01,9.513738853296020258e-08
4.999999253640204366e-01,9.512940181222573283e-08
4.999999253591854709e-01,9.512097450310393441e-08
4.999999253589758608e-01,9.511383154205419135e-08
4.999999253542485311e-01,9.510970740309532179e-08
4.999999253513520703e-01,9.510666124936835954e-08
4.999999253502127594e-01,9.510410435183421526e-08
4.999999253496364982e-01,9.510259165560225708e-08
4.999999253492506401e-01,9.510179257346373849e-08
4.999999253483412565e-01,9.510044003515365985e-08
4.999999253474552430e-01,9.509913155274452721e-08
4.999999253443748737e-01,9.509867692451556342e-08
4.999999253394641352e-01,9.509842954340439538e-08
4.999999253327834237e-01,9.509808236320472540e-08
4.999999253278327727e-01,9.509692901399511677e-08
4.999999253244954978e-01,9.509511761178837255e-08
4.999999253219165052e-01,9.509271984373541126e-08
4.999999253208557981e-01,9.508985283651854757e-08
4.999999253202360716e-01,9.508494986286251840e-08
4.999999253191819149e-01,9.508057736010246896e-08
4.999999253165254287e-01,9.507784304484601284e-08
4.999999253149961520e-01,9.507591013063303582e-08
4.999999253118190268e-01,9.507402321807924558e-08
4.999999253109740915e-01,9.507303799609035988e-08
4.999999253096917284e-01,9.507246828578633184e-08
4.999999253082422768e-01,9.507198891480614653e-08
4.999999253059828619e-01,9.507176324275205228e-08
4.999999253056488513e-01,9.507166676859708620e-08
4.999999253049292602e-01,9.507163122000212138e-08
4.999999253042886060e-01,9.507160893602375074e-08
4.999999253038630020e-01,9.507159277009221473e-08
4.999999253035843361e-01,9.507156931752690097e-08
4.999999253029835389e-01,9.507154850230482554e-08
4.999999253022468504e-01,9.507150861373320138e-08
4.999999253017902157e-01,9.507143703130827179e-08
4.999999253013903688e-01,9.507126690939309129e-08
4.999999253012373801e-01,9.507084985741436796e-08
4.999999253009868028e-01,9.506978959994172949e-08
4.999999253007313404e-01,9.506713899727180102e-08
4.999999253004941968e-01,9.506177943869202198e-08
4.999999253002863076e-01,9.505596200656968889e-08
4.999999253002069821e-01,9.504946436323809721e-08
4.999999253000182997e-01,9.504625567022272218e-08
4.999999252999478561e-01,9.503330208687987660e-08
4.999999252999052235e-01,9.502816962077977965e-08
4.999999252998647004e-01,9.502121509178241232e-08
4.999999252998290067e-01,9.501870730840668922e-08
4.999999252998043042e-01,9.501418580099165323e-08
4.999999252997860966e-01,9.500519615585700606e-08
4.999999252997644472e-01,9.500334631335926134e-08
4.999999252997217036e-01,9.500138403080013774e-08
4.999999252996334964e-01,9.500046007517076416e-08
4.999999252993669874e-01,9.499773625444080599e-08
4.999999252992666787e-01,9.499605652311778460e-08
4.999999252985961595e-01,9.499377544855402761e-08
4.999999252970672159e-01,9.499218774324606433e-08
4.999999252890497403e-01,9.498978840350617141e-08
4.999999252876780043e-01,9.498216311762690170e-08
4.999999252720297993e-01,9.497944701305676132e-08
4.999999252685861650e-01,9.497432321096931267e-08
4.999999252602664868e-01,9.496332728029970260e-08
4.999999252567495223e-01,9.495281644755856173e-08
4.999999252539857331e-01,9.494163727570222060e-08
4.999999252500449964e-01,9.493248190656015015e-08
4.999999252405030736e-01,9.492313693271764815e-08
4.999999252374117131e-01,9.491567514207288919e-08
4.999999252362916091e-01,9.491012696180478795e-08
4.999999252335215472e-01,9.490279822069258945e-08
4.999999252289867857e-01,9.489848452828185215e-08
4.999999252209008649e-01,9.489602132463432542e-08
4.999999252185770571e-01,9.489266112360517797e-08
4.999999252149275319e-01,9.488479404830002836e-08
4.999999252126886562e-01,9.488241144113551086e-08
4.999999252103334291e-01,9.488116098274791361e-08
4.999999252091398838e-01,9.487865502864970292e-08
4.999999252073597522e-01,9.487816815427676610e-08
4.999999252041096298e-01,9.487614284250210941e-08
4.999999252012548023e-01,9.487319138452574374e-08
4.999999251980531412e-01,9.487054121036033357e-08
4.999999251948910040e-01,9.486440334637963263e-08
4.999999251922339072e-01,9.486153720914930321e-08
4.999999251907688569e-01,9.485910033424210741e-08
4.999999251898300523e-01,9.485349866258760778e-08
4.999999251878741724e-01,9.484606054459504937e-08
4.999999251861234617e-01,9.484421771360673433e-08
4.999999251843053605e-01,9.483563712457457460e-08
4.999999251826461322e-01,9.482850421910989620e-08
4.999999251807151768e-01,9.482117139381098592e-08
4.999999251787867749e-01,9.481084915366478250e-08
4.999999251769790543e-01,9.480578797937107568e-08
4.999999251761090280e-01,9.479617841602665870e-08
4.999999251749054352e-01,9.478370128479243266e-08
4.999999251731651606e-01,9.477293327622453089e-08
4.999999251722609950e-01,9.475908187879853339e-08
4.999999251716069626e-01,9.475477760668177874e-08
4.999999251704438930e-01,9.474968854228788799e-08
4.999999251700079084e-01,9.474663010553186385e-08
4.999999251692391899e-01,9.474310032721702872e-08
4.999999251680999346e-01,9.473895389089402098e-08
4.999999251670426137e-01,9.473560301345941765e-08
4.999999251657759047e-01,9.473249788101696173e-08
4.999999251653783894e-01,9.473041341811404905e-08
4.999999251645255716e-01,9.472868315604409111e-08
4.999999251630943276e-01,9.472728257654506135e-08
4.999999251624743235e-01,9.472641705257623625e-08
4.999999251620435015e-01,9.472519473923709767e-08
4.999999251612641249e-01,9.472410059819303787e-08
4.999999251605135586e-01,9.472335750414295102e-08
4.999999251592510130e-01,9.472267251553881650e-08
4.999999251590399596e-01,9.472191674506113140e-08
4.999999251577934567e-01,9.472087170130178914e-08
4.999999251564762881e-01,9.471696408700059580e-08
4.999999251556941915e-01,9.471587210150779127e-08
4.999999251550079071e-01,9.471291059565653129e-08
4.999999251540001022e-01,9.470980473234670727e-08
4.999999251535042766e-01,9.470747276835428740e-08
4.999999251525422128e-01,9.470068999840566815e-08
4.999999251513829179e-01,9.469780116180549919e-08
4.999999251507345477e-01,9.469338780680425620e-08
4.999999251498148389e-01,9.468756539169323823e-08
4.999999251489150032e-01,9.468285460601430270e-08
4.999999251480832796e-01,9.467048940655114524e-08
4.999999251464986028e-01,9.465121694476930734e-08
4.999999251459190663e-01,9.464412901690092954e-08
4.999999251454455562e-01,9.462087277270524657e-08
4.999999251411043621e-01,9.460859536803546844e-08
4.999999251396950450e-01,9.459755833927454302e-08
4.999999251374865339e-01,9.459288997903085574e-08
4.999999251363916875e-01,9.457860646054577908e-08
4.999999251346994855e-01,9.456580983913784237e-08
4.999999251343097972e-01,9.455275176330491476e-08
4.999999251334120154e-01,9.454978552678316762e-08
4.999999251329040328e-01,9.453900205236047092e-08
4.999999251310590087e-01,9.453221196771630913e-08
4.999999251298579139e-01,9.452585946054085310e-08
4.999999251270699219e-01,9.452512649883827116e-08
4.999999251263826938e-01,9.452186968542207075e-08
4.999999251213739226e-01,9.452057969014149255e-08
4.999999251205795026e-01,9.451918919997815081e-08
4.999999251180312076e-01,9.451792364736351006e-08
4.999999251158004920e-01,9.451699169190062885e-08
4.999999251127680289e-01,9.451628546913629071e-08
4.999999251112343668e-01,9.451602158557071867e-08
4.999999251099511710e-01,9.451566981167092426e-08
4.999999251084948360e-01,9.451535239177599446e-08
4.999999251055965988e-01,9.451468847203112222e-08
4.999999251044423554e-01,9.451361679717470052e-08
4.999999251016362667e-01,9.451286811622054857e-08
4.999999250991044031e-01,9.451017639510669122e-08
4.999999250953078289e-01,9.450381098361225475e-08
4.999999250926558947e-01,9.449528778752854748e-08
4.999999250893319980e-01,9.449095954125550157e-08
4.999999250857600774e-01,9.447502833792945843e-08
4.999999250847011467e-01,9.445752643230522028e-08
4.999999250807611872e-01,9.444157274610259448e-08
4.999999250771369752e-01,9.443239196554492386e-08
4.999999250723324296e-01,9.441579288566554069e-08
4.999999250690175812e-01,9.440107952516647045e-08
4.999999250642117588e-01,9.439717424215160939e-08
4.999999250618392677e-01,9.438971200575478255e-08
4.999999250558458952e-01,9.438625934377128173e-08
4.999999250538002538e-01,9.437235242546852655e-08
4.999999250499899683e-01,9.436608347280883741e-08
4.999999250468652456e-01,9.436254900058673028e-08
4.999999250440959608e-01,9.435767727910494952e-08
4.999999250392800354e-01,9.435355493614565312e-08
4.999999250355666169e-01,9.434766672786668597e-08
4.999999250336971124e-01,9.434478163740515887e-08
4.999999250300040665e-01,9.434171188940274877e-08
4.999999250271615070e-01,9.433892327934827029e-08
4.999999250249159699e-01,9.433769892842153449e-08
4.999999250239516857e-01,9.433674970802496310e-08
4.999999250183871924e-01,9.433588761743172866e-08
4.999999250146845431e-01,9.433523666292653755e-08
4.999999250071150980e-01,9.433474585194259385e-08
4.999999250031351150e-01,9.433415187832642863e-08
4.999999249993737349e-01,9.433257926160240330e-08
4.999999249985317418e-01,9.433035312682987781e-08
4.999999249950380920e-01,9.432536854673774866e-08
4.999999249906306176e-01,9.431934176194678560e-08
4.999999249882105534e-01,9.431780766681120218e-08
4.999999249829109593e-01,9.431366956224057542e-08
4.999999249800083367e-01,9.430803919502121883e-08
4.999999249786322708e-01,9.429082248003864793e-08
4.999999249692400616e-01,9.427963409625141467e-08
4.999999249648098276e-01,9.425992664673291677e-08
4.999999249621192576e-01,9.425296964466862053e-08
4.999999249596956408e-01,9.423361570820590320e-08
4.999999249576379534e-01,9.420972006951728897e-08
4.999999249553260805e-01,9.420630936411947855e-08
4.999999249531972279e-01,9.418024788509013386e-08
4.999999249515381106e-01,9.416383951777584215e-08
4.999999249489867070e-01,9.415299805175904884e-08
4.999999249446337446e-01,9.414507353935411909e-08
4.999999249358082487e-01,9.413249901267661140e-08
4.999999249338598073e-01,9.412384018705088619e-08
4.999999249290341119e-01,9.411662864949329220e-08
4.999999249254415412e-01,9.411051063648976341e-08
4.999999249232953136e-01,9.410210240625307256e-08
4.999999249190653083e-01,9.409961522554600941e-08
4.999999249147323299e-01,9.409694611690032874e-08
4.999999249114440714e-01,9.409594303022420286e-08
4.999999249109802202e-01,9.409526477961018472e-08
4.999999249087461184e-01,9.409472111458904264e-08
4.999999249046598870e-01,9.409398506764969639e-08
4.999999249010140812e-01,9.409333591223050767e-08
4.999999248966742194e-01,9.409143835334480262e-08
4.999999248934119400e-01,9.408692068501977919e-08
4.999999248912463390e-01,9.407747302727801895e-08
