# zero_pos_dp, zero_pos_pinn
1.000000000000000000e+03,9.990000000000000000e+02
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.012000000000000000e+03
1.000000000000000000e+03,1.003000000000000000e+03
1.000000000000000000e+03,1.002000000000000000e+03
1.000000000000000000e+03,9.930000000000000000e+02
1.000000000000000000e+03,9.980000000000000000e+02
1.000000000000000000e+03,9.990000000000000000e+02
9.910000000000000000e+02,1.000000000000000000e+03
9.910000000000000000e+02,1.000000000000000000e+03
1.000000000000000000e+03,1.000000000000000000e+03
1.001000000000000000e+03,1.000000000000000000e+03
9.990000000000000000e+02,9.990000000000000000e+02
1.000000000000000000e+03,1.000000000000000000e+03
1.000000000000000000e+03,1.002000000000000000e+03
1.001000000000000000e+03,1.001000000000000000e+03
1.001000000000000000e+03,1.001000000000000000e+03
1.001000000000000000e+03,9.990000000000000000e+02
1.000000000000000000e+03,1.001000000000000000e+03
1.000000000000000000e+03,1.001000000000000000e+03
1.002000000000000000e+03,9.970000000000000000e+02
1.002000000000000000e+03,9.940000000000000000e+02
1.002000000000000000e+03,9.940000000000000000e+02
1.002000000000000000e+03,9.940000000000000000e+02
1.002000000000000000e+03,9.940000000000000000e+02
1.002000000000000000e+03,9.930000000000000000e+02
1.002000000000000000e+03,9.900000000000000000e+02
1.006000000000000000e+03,9.920000000000000000e+02
1.003000000000000000e+03,9.930000000000000000e+02
1.004000000000000000e+03,9.940000000000000000e+02
1.004000000000000000e+03,9.940000000000000000e+02
1.004000000000000000e+03,9.950000000000000000e+02
1.004000000000000000e+03,9.960000000000000000e+02
1.003000000000000000e+03,9.970000000000000000e+02
1.001000000000000000e+03,9.980000000000000000e+02
1.001000000000000000e+03,9.980000000000000000e+02
1.000000000000000000e+03,9.980000000000000000e+02
9.990000000000000000e+02,9.980000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,1.000000000000000000e+03
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,1.000000000000000000e+03
9.990000000000000000e+02,1.000000000000000000e+03
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,1.000000000000000000e+03
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.990000000000000000e+02
9.990000000000000000e+02,9.970000000000000000e+02
9.990000000000000000e+02,9.960000000000000000e+02
1.000000000000000000e+03,9.950000000000000000e+02
1.000000000000000000e+03,9.950000000000000000e+02
1.001000000000000000e+03,9.950000000000000000e+02
1.001000000000000000e+03,9.940000000000000000e+02
1.001000000000000000e+03,9.940000000000000000e+02
1.002000000000000000e+03,9.930000000000000000e+02
1.002000000000000000e+03,9.930000000000000000e+02
1.002000000000000000e+03,9.930000000000000000e+02
1.002000000000000000e+03,9.920000000000000000e+02
1.002000000000000000e+03,9.920000000000000000e+02
1.002000000000000000e+03,9.920000000000000000e+02
1.001000000000000000e+03,9.920000000000000000e+02
1.001000000000000000e+03,9.910000000000000000e+02
1.001000000000000000e+03,9.910000000000000000e+02
1.000000000000000000e+03,9.900000000000000000e+02
1.000000000000000000e+03,9.900000000000000000e+02
1.000000000000000000e+03,9.900000000000000000e+02
1.000000000000000000e+03,9.900000000000000000e+02
9.990000000000000000e+02,9.900000000000000000e+02
9.990000000000000000e+02,9.910000000000000000e+02
9.970000000000000000e+02,9.910000000000000000e+02
9.980000000000000000e+02,9.910000000000000000e+02
9.960000000000000000e+02,9.910000000000000000e+02
9.950000000000000000e+02,9.910000000000000000e+02
9.950000000000000000e+02,9.910000000000000000e+02
9.960000000000000000e+02,9.900000000000000000e+02
9.960000000000000000e+02,9.890000000000000000e+02
9.960000000000000000e+02,9.890000000000000000e+02
9.970000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.990000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
9.980000000000000000e+02,9.870000000000000000e+02
