# s_error_dp, s_error_pinn
4.222430348615049261e-02,4.219609693842916315e-02
4.218038672853584997e-02,4.218038678936172209e-02
4.218038616962389159e-02,4.218038664545760430e-02
4.218047569210810893e-02,4.218038960522813713e-02
4.218038809524623373e-02,4.218038467246549433e-02
4.218029752290029799e-02,4.218020331815945656e-02
4.218023421164316528e-02,4.218014077221331898e-02
4.218017562570298279e-02,2.932701493798704068e-02
4.218008203794349625e-02,3.809536466591226245e-02
4.218154055282520576e-02,3.743206647643631396e-02
4.218631247558670555e-02,2.081727822974889855e-02
4.218049427978887156e-02,2.301589015376318687e-02
4.217424522339516951e-02,1.664008929856889210e-02
2.343865780672009513e-02,1.534133134471262622e-02
2.344186529251176751e-02,1.565213398558080310e-02
1.809541499315503454e-02,1.592551548175338491e-02
1.600905092299460819e-02,1.598904629264953983e-02
1.520363686480505003e-02,1.672675976417119931e-02
1.513904140471822833e-02,1.546116158324231660e-02
1.512725505842583626e-02,1.689968849054429567e-02
1.510919979431334971e-02,1.341551721411904201e-02
1.518830415774015570e-02,1.564108267366163402e-02
1.485951943817583228e-02,1.281545938599745749e-02
1.487574196354236357e-02,9.917481353057488319e-03
1.473163486084814316e-02,1.150134169438907228e-02
1.408217726404951096e-02,7.982820845594535211e-03
1.393314268650974741e-02,4.685825657946280157e-03
1.380919702580778695e-02,4.244070963229137905e-03
1.360548004247262750e-02,4.303369104194047952e-03
1.340696022377698381e-02,4.334779368656658562e-03
1.378431781373104167e-02,4.036284949452020702e-03
1.207795682539516795e-02,2.728807696156465568e-03
1.083748108722838548e-02,2.658852731980773047e-03
8.116204987740205726e-03,2.936312796936352797e-03
5.151968558548225725e-03,2.713131934586840346e-03
3.950882523618214071e-03,2.521691860904429726e-03
2.858567555425691777e-03,2.802606207678723198e-03
2.916491424690577632e-03,2.956379941423927828e-03
2.443344090458596414e-03,2.854305525856029851e-03
1.850294676314193391e-03,2.652665466662245536e-03
1.761157665591090229e-03,2.135523084783646965e-03
1.476078030983475793e-03,2.113947070064069265e-03
1.356987705131613075e-03,2.296326534798400452e-03
1.265899387810450871e-03,2.140788029937486323e-03
1.233794104243062829e-03,1.992895977761387650e-03
1.113992358780839954e-03,1.933482400342709977e-03
1.470033035425612460e-03,1.927669802855025210e-03
1.117146894476502266e-03,2.034344985922123018e-03
9.310161548386004966e-04,2.459059020737065261e-03
9.854070035364690706e-04,2.915563086817453756e-03
1.152494146565239113e-03,2.571823498535412162e-03
9.982673777922911051e-04,2.354147850731751982e-03
1.005740896879340953e-03,2.938271502569783644e-03
1.030164293913133277e-03,2.172420935011716916e-03
9.752445751736185881e-04,1.789747196159951299e-03
1.010950361443502992e-03,1.472049782748017024e-03
1.007826392801932768e-03,1.678066828187347887e-03
8.134922250686123712e-04,1.910525643674797647e-03
1.277746877138882320e-03,1.566556511536121386e-03
1.184648543612652457e-03,1.141112203759645557e-03
8.425859309380119783e-04,4.601899873027684657e-04
1.246321599512006982e-03,1.247210598397390348e-03
8.261815843582807819e-04,1.350847963787939069e-03
1.110101502274028849e-03,8.388868056970354061e-04
1.215710077893993393e-03,1.323366141924171065e-03
9.145976817369242491e-04,7.405620071684440630e-04
1.346349537170111934e-03,1.027916476271251199e-03
8.469971103111934973e-04,1.282998161496980757e-03
9.036963540572366020e-04,8.014543994311115055e-04
9.471652477016804855e-04,5.051172202326544014e-04
1.314646026898111820e-03,1.106340416295002304e-03
1.399634351487089078e-03,5.757745296878364867e-04
7.994455783098834614e-04,1.527572736165388459e-03
