# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,2.640496897762669715e-01
6.717283272841961805e-04,9.354149046862936245e-04,6.717283272841961805e-04,2.649304386001161138e-01
6.727963547104508181e-04,1.200787420447602116e-03,6.727963547104508181e-04,2.658152762643982703e-01
6.741301977551369170e-04,1.467046827646312224e-03,6.741301977551369170e-04,2.667042252291372817e-01
6.757307453700593311e-04,1.734197248872249020e-03,6.757307453700593311e-04,2.675973080961490114e-01
6.775988906391287045e-04,2.002242829385991740e-03,6.775988906391287045e-04,2.684945476100260020e-01
6.797355308045414848e-04,2.271187737268975937e-03,6.797355308045414848e-04,2.693959666591673185e-01
6.821415672862645536e-04,2.541036163558496597e-03,6.821415672862645536e-04,2.703015882767942912e-01
6.848179057086453431e-04,2.811792322403139366e-03,6.848179057086453431e-04,2.712114356419746963e-01
6.877654559209119304e-04,3.083460451199115937e-03,6.877654559209119304e-04,2.721255320806785782e-01
6.909851320212882959e-04,3.356044810745695273e-03,6.909851320212882959e-04,2.730439010668016531e-01
6.944778523806644085e-04,3.629549685388200331e-03,6.944778523806644085e-04,2.739665662232344534e-01
6.982445396660544572e-04,3.903979383171440887e-03,6.982445396660544572e-04,2.748935513229227023e-01
7.022861208649202767e-04,4.179338235988039330e-03,7.022861208649202767e-04,2.758248802899346819e-01
7.066035273080740337e-04,4.455630599730753261e-03,7.066035273080740337e-04,2.767605772005427012e-01
7.111976946945114441e-04,4.732860854445242182e-03,7.111976946945114441e-04,2.777006662843155560e-01
7.160695631150777382e-04,5.011033404483500320e-03,7.160695631150777382e-04,2.786451719252032166e-01
7.212200770777058272e-04,5.290152678658621710e-03,7.212200770777058272e-04,2.795941186626577091e-01
7.266501855314449337e-04,5.570223130404672318e-03,7.266501855314449337e-04,2.805475311927327908e-01
7.323608418902447350e-04,5.851249237924793789e-03,7.323608418902447350e-04,2.815054343692154903e-01
