# s_error_dp, s_error_pinn
4.220583380330587830e-02,4.219720273806922689e-02
4.218034089281381266e-02,4.218034094146291824e-02
4.218034740281719625e-02,4.218034136222552355e-02
2.272949938669714329e-02,4.218127114103144976e-02
1.581442479330263245e-02,1.591152733300871258e-02
1.124790228593716863e-02,1.479489236554302860e-02
9.616035040238401360e-03,9.336551307683352979e-03
9.062685030747773263e-03,9.732567339385038430e-03
7.817682943051877317e-03,8.596625364194291144e-03
6.995842589399315324e-03,7.216382725033878773e-03
5.728974800187964025e-03,6.473079473313833945e-03
4.876868609482058053e-03,5.380409147259035754e-03
4.302040959977267848e-03,4.401006029827655812e-03
2.650069323634882037e-03,4.413594243716166023e-03
2.434877856391895121e-03,3.235742058248377261e-03
2.491861156992711962e-03,2.937258877626574595e-03
2.835744818914603081e-03,2.903088113980115126e-03
2.508742578750667619e-03,2.769937169154193784e-03
1.925674503028390258e-03,2.728671703271579648e-03
1.703213255590233953e-03,2.543247544343485433e-03
1.410541465444523817e-03,2.321810192688547082e-03
8.220033443718640026e-04,2.198806970548255243e-03
1.110681907418579811e-03,1.784570858598687887e-03
1.666746440255407634e-03,1.864049432125028253e-03
1.247062264746827279e-03,2.236120567425117171e-03
1.364493118183389983e-03,1.816603793677927818e-03
8.024031589288840860e-04,1.827326098333013600e-03
1.218816651283129594e-03,1.865269520348508117e-03
1.059953184784277270e-03,1.560408937190597371e-03
8.201766117272027900e-04,1.728209483254910563e-03
9.072824900795669126e-04,1.406022586948319636e-03
1.151894108594034901e-03,1.450450554396849872e-03
1.051628744241288587e-03,1.491614725645642797e-03
7.116474686816461580e-04,1.510835107869666627e-03
9.487511521942681037e-04,1.316032027513611147e-03
7.849597480802265664e-04,1.257577848516278898e-03
4.845602822881629333e-04,1.467648021171963054e-03
5.034324987107082015e-04,1.551992726115616504e-03
8.079628585677478894e-04,1.801291274538478326e-03
4.318239203704493027e-04,1.069404688178034451e-03
4.720813502283513203e-04,1.555752526944749860e-03
7.828393119261230779e-04,1.258071310650538425e-03
1.466587164005546439e-03,1.518321928070769100e-03
9.500861031641741946e-04,1.157174696351431992e-03
6.167372284911194855e-04,1.756909956954031066e-03
5.731559710586937384e-04,1.248194419357644743e-03
4.172674948608666142e-04,1.386664328509130181e-03
3.823805512192062200e-04,8.249803366100122220e-04
4.970576934853339042e-04,1.511226629754011805e-03
8.929145166583209127e-04,1.489078974184841970e-03
4.042904499595398630e-04,1.100214670333570085e-03
1.341627472698239025e-03,9.756722810321360583e-04
1.037778159274373472e-03,1.174027957171891890e-03
3.712366281010579753e-04,1.240423368181413355e-03
8.896344821978181740e-04,1.212949702862355615e-03
5.375383293294360657e-04,7.402299679760337633e-04
6.953701022371310382e-04,9.939108714234366412e-04
8.637929681541533632e-04,1.455586337686437222e-03
5.002410063696885326e-04,3.352058492418509279e-04
2.417472119881712133e-04,1.073342541920219552e-03
2.852940856590143967e-04,8.930374235254114187e-04
3.165908877610588415e-04,2.742801998957331141e-04
4.117597304221810579e-04,1.126857449845739207e-03
4.971280261715405220e-04,5.319072887967319458e-04
6.523946036390961076e-04,4.566615088724923456e-04
8.073884972837251867e-04,1.871839388127856765e-04
