# error_dp, error_pinn
4.220583380330587830e-02,4.223250677711544443e-02
4.218034089281381266e-02,4.218034094146291824e-02
4.218034740281719625e-02,4.218034136222552355e-02
2.201883356414864948e-02,4.218127114103144976e-02
1.581442479330263245e-02,4.065204097963723284e-02
2.807224146987311736e-02,3.898246589467624368e-02
1.760245462817809289e-02,1.465637129308546352e-02
1.133306751966937920e-02,1.121731749092133752e-02
8.616194479081832128e-03,8.596625364194291144e-03
7.344354314619724357e-03,9.104251764800784172e-03
5.728974800187964025e-03,1.020957831651504027e-02
4.875553574603943771e-03,1.215356815894186489e-02
5.066543992546464897e-03,1.468351042665801132e-02
5.901474982120898799e-03,6.299800433592240602e-03
6.704367010774214992e-03,3.603463467593631675e-03
6.791668106210384075e-03,3.120549697398651220e-03
7.522985366996271309e-03,3.252123934516949928e-03
7.746131341685945013e-03,5.680083097743710528e-03
1.369675335607111952e-02,7.745008282120161708e-03
1.811093019044087912e-02,1.035252039962170079e-02
1.798344306833423584e-02,1.545986429948263338e-02
1.955711296696021825e-02,1.589403954729946486e-02
1.900884708253297237e-02,1.707367785828624654e-02
1.833338553634271048e-02,1.663459380969584123e-02
1.509783740373327188e-02,1.580440965647570556e-02
1.528281247302792391e-02,1.161360967620870925e-02
1.388203159584371939e-02,9.288621448173058071e-03
1.228514330176597516e-02,7.623472455656843914e-03
1.062732654571306098e-02,5.471600335969968934e-03
5.695314983958388658e-03,4.977450832843695501e-03
6.160990171357177449e-03,3.110662933297568718e-03
4.863130580266471388e-03,2.685912024703186914e-03
2.220971314106778751e-03,1.491614725645642797e-03
7.116474686816461580e-04,1.510835107869666627e-03
2.203080838124467020e-03,1.316032027513611147e-03
6.249326373996859016e-03,1.257577848516278898e-03
5.587021522093502286e-03,1.467648021171963054e-03
5.460466476343619688e-03,2.191595694330630492e-03
4.996378737049314914e-03,4.382423238932263605e-03
5.542842814181669214e-03,8.874223618750851431e-03
5.432612573468545945e-03,9.686484918139471115e-03
4.998902209843567382e-03,6.414024880191504692e-03
4.260258270638852748e-03,6.755991571344877912e-03
3.717915155534356249e-03,8.865247931508474233e-03
3.338098245713574767e-03,9.924021745553533724e-03
3.282755429005143090e-03,1.072856125558263422e-02
3.031110780859200705e-03,1.327034232270828638e-02
2.878062608126998653e-03,1.447829205428253357e-02
2.540969591233808132e-03,1.293734799518758173e-02
2.060197866639779194e-03,6.826699456763958562e-03
4.042904499595398630e-04,9.399056962892962663e-03
1.589736240305717179e-03,9.093930452337683004e-03
4.705029501678419622e-03,6.731020583770793743e-03
5.687650596368214184e-03,4.508244425467607119e-03
6.491594615103641469e-03,1.212949702862355615e-03
5.191694408992983747e-03,7.402299679760337633e-04
5.023670291888332126e-03,4.736008716919337148e-03
3.662723245957332299e-03,4.260655731245622559e-03
3.278706861219255787e-03,5.782601188205669859e-03
2.904269946689808698e-03,1.028569280614393538e-02
2.999483654366104542e-03,1.217072586599312646e-02
3.045160845947108685e-03,1.703752728518769313e-02
3.171643785381256155e-03,1.872267466129947169e-02
3.271478621392945752e-03,2.027858406851248615e-02
3.441557174531188149e-03,1.936810024970259114e-02
3.603971813373474994e-03,1.987685784341165079e-02
3.675500022254774794e-03,1.961424266901402522e-02
3.746353391467486041e-03,1.969809229456590330e-02
3.813766355357138364e-03,1.963146626298544611e-02
3.398796835880211770e-03,1.959546753174110437e-02
1.892164868032955409e-03,1.938001363291359108e-02
9.106589484225965968e-04,1.876186914488163493e-02
6.435227978312632905e-04,1.780605964918917025e-02
4.724594533757901955e-04,1.707502787737727110e-02
2.389480768264767971e-04,1.644924161216547789e-02
3.345586046016712904e-04,1.594989651084537802e-02
5.233692039476404425e-04,1.536091353142462861e-02
6.649805525456214733e-04,1.426051341689997184e-02
6.142358491784751266e-04,1.323924484928499373e-02
1.128557174159269772e-03,1.175415452840208874e-02
1.142075193579239869e-03,1.189859089367662111e-02
1.483442225441060748e-03,1.164000627423376552e-02
1.999397905979088171e-03,1.195487598505376968e-02
2.941455199473916055e-03,1.400334013999879335e-02
2.794623268251069347e-03,1.513156247973851398e-02
3.090694753160774799e-03,1.503587314773541413e-02
3.101707899141616185e-03,1.521169242075411099e-02
3.230887432326651470e-03,1.557488621848554695e-02
2.485447399368148364e-03,1.609813511048307361e-02
2.950650427633056978e-03,1.669790466910970467e-02
2.995880738114365446e-03,1.779126426278215128e-02
3.026530449155262394e-03,1.885098545449324925e-02
3.277846733105084509e-03,1.959109830360113505e-02
3.514068085852903745e-03,2.227679481100202502e-02
3.993116073598830702e-03,2.103206686975740702e-02
4.076563130104904342e-03,2.130524451157481125e-02
4.408742505751514669e-03,2.257867119503494460e-02
4.282132860698378146e-03,2.252007178062745071e-02
