# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,2.567238862426977075e-01
6.717246645663488454e-04,9.280896530832194458e-04,6.717246645663488454e-04,2.576057396159414647e-01
6.727817045761170763e-04,1.186138023858918089e-03,6.727817045761170763e-04,2.584916859688035640e-01
6.740972366143675515e-04,1.445074396838164077e-03,6.740972366143675515e-04,2.593817477805145932e-01
6.756721507457538701e-04,1.704902898779003806e-03,6.756721507457538701e-04,2.602759476722011911e-01
6.775073411712130697e-04,1.965627679129333671e-03,6.775073411712130697e-04,2.611743084078709254e-01
6.796037062541649375e-04,2.227252910176780176e-03,6.796037062541649375e-04,2.620768528954494636e-01
6.819621485400162659e-04,2.489782787186145541e-03,6.819621485400162659e-04,2.629836041877866570e-01
6.845835747827910258e-04,2.753221528551730302e-03,6.845835747827910258e-04,2.638945854836910465e-01
6.874688959656495438e-04,3.017573375935667102e-03,6.874688959656495438e-04,2.648098201289791342e-01
6.906190273250242513e-04,3.282842594422685778e-03,6.906190273250242513e-04,2.657293316175061149e-01
6.940348883743089605e-04,3.549033472664664401e-03,6.940348883743089605e-04,2.666531435922310234e-01
6.977174029273380210e-04,3.816150323032063696e-03,6.977174029273380210e-04,2.675812798462766651e-01
7.016674991227292608e-04,4.084197481763585102e-03,7.016674991227292608e-04,2.685137643240026462e-01
7.058861094468070561e-04,4.353179309118271334e-03,7.058861094468070561e-04,2.694506211220851766e-01
7.103741707584566899e-04,4.623100189529827375e-03,7.103741707584566899e-04,2.703918744906071980e-01
7.151326243128096165e-04,4.893964531756056502e-03,7.151326243128096165e-04,2.713375488341489561e-01
7.201624157865030946e-04,5.165776769040286709e-03,7.201624157865030946e-04,2.722876687129066609e-01
7.254644953017295268e-04,5.438541359264581487e-03,7.254644953017295268e-04,2.732422588437939392e-01
7.310398174500410936e-04,5.712262785102284468e-03,7.310398174500410936e-04,2.742013441015724862e-01
7.368893413192398106e-04,5.986945554186329232e-03,7.368893413192398106e-04,2.751649495199868234e-01
7.430140305167205099e-04,6.262594199258231242e-03,7.430140305167205099e-04,2.761331002928948397e-01
7.494148531955797292e-04,6.539213278339506275e-03,7.494148531955797292e-04,2.771058217754306385e-01
7.560927820788901311e-04,6.816807374882660753e-03,7.560927820788901311e-04,2.780831394851562832e-01
7.630487944872249269e-04,7.095381097944164495e-03,7.630487944872249269e-04,2.790650791032347477e-01
7.702838723615861504e-04,7.374939082339659890e-03,7.702838723615861504e-04,2.800516664756008689e-01
7.777990022922036699e-04,7.655485988815824427e-03,7.777990022922036699e-04,2.810429276141611643e-01
7.855951755420669284e-04,7.937026504213573475e-03,7.855951755420669284e-04,2.820388886979779963e-01
7.936733880743361775e-04,8.219565341640588940e-03,7.936733880743361775e-04,2.830395760744837119e-01
8.020346405787589540e-04,8.503107240630747299e-03,8.020346405787589540e-04,2.840450162606905637e-01
8.106799384980472017e-04,8.787656967325974122e-03,8.106799384980472017e-04,2.850552359444217254e-01
8.196102920536684888e-04,9.073219314637448463e-03,8.196102920536684888e-04,2.860702619855448603e-01
8.288267162737144493e-04,9.359799102425458983e-03,8.288267162737144493e-04,2.870901214172154603e-01
8.383302310203833568e-04,9.647401177669490124e-03,8.383302310203833568e-04,2.881148414471343955e-01
