# dp_out, dp_first_der, pinn_out, pinn_second_der
6.709252306373869601e-04,6.709251803020954696e-04,6.709252306373869601e-04,1.069776376569679943e-01
6.716825670553837118e-04,8.434902017622203374e-04,6.716496224035326500e-04,1.068452221017913706e-01
6.726116996832546277e-04,1.014521146891489423e-03,6.724808597207455885e-04,1.067167528297338075e-01
6.737111050707152724e-04,1.184039254298108190e-03,6.734188141217749409e-04,1.065922606939515571e-01
6.749792809638468366e-04,1.352065675101155051e-03,6.744633611180264696e-04,1.064717767161427187e-01
6.764147462143203348e-04,1.518621472986092513e-03,6.756143802272701875e-04,1.063553320874859320e-01
6.780160406954355550e-04,1.683727624286479596e-03,6.768717550082659811e-04,1.062429581696174852e-01
6.797817252114104168e-04,1.847405018076786476e-03,6.782353730887219316e-04,1.061346864955827751e-01
6.817103814137613366e-04,2.009674456303622847e-03,6.797051262004042511e-04,1.060305487708252947e-01
6.838006117115638140e-04,2.170556653922073309e-03,6.812809102081644102e-04,1.059305768741720666e-01
6.860510391853328433e-04,2.330072239066005579e-03,6.829626251426051736e-04,1.058348028588159684e-01
6.884603075004916547e-04,2.488241753237696585e-03,6.847501752323329046e-04,1.057432589533267020e-01
6.910270808206746794e-04,2.645085651512113500e-03,6.866434689360183989e-04,1.056559775626593201e-01
6.937500437219669414e-04,2.800624302769172402e-03,6.886424189753555464e-04,1.055729912691706351e-01
6.966279011058057599e-04,2.954877989939541649e-03,6.907469423666186617e-04,1.054943328336462871e-01
6.996593781139253060e-04,3.107866910274426075e-03,6.929569604541846060e-04,1.054200351963391347e-01
7.028432200422506755e-04,3.259611175630450219e-03,6.952723989429042449e-04,1.053501314780058706e-01
7.061781922565135662e-04,3.410130812777190101e-03,6.976931879320825373e-04,1.052846549809768328e-01
7.096630801068104250e-04,3.559445763721136302e-03,7.002192619482658928e-04,1.052236391901957280e-01
7.132966888420969520e-04,3.707575886040759272e-03,7.028505599778182194e-04,1.051671177743123131e-01
7.170778435279558105e-04,3.854540953254659286e-03,7.055870255026023413e-04,1.051151245867507633e-01
7.210053889610295490e-04,4.000360655186607772e-03,7.084286065321451342e-04,1.050676936668001327e-01
7.250781895864359455e-04,4.145054598367448051e-03,7.113752556385881907e-04,1.050248592407188042e-01
7.292951294135964057e-04,4.288642306432777218e-03,7.144269299898379534e-04,1.049866557228400499e-01
7.336551119355592867e-04,4.431143220556377216e-03,7.175835913859838480e-04,1.049531177166945772e-01
7.381570600439994224e-04,4.572576699878760920e-03,7.208452062911481321e-04,1.049242800161256373e-01
7.427999159503687618e-04,4.712962021968358783e-03,7.242117458712359719e-04,1.049001776064517610e-01
7.475826411020756145e-04,4.852318383287146375e-03,7.276831860264399311e-04,1.048808456655851984e-01
7.525042161028454475e-04,4.990664899674701616e-03,7.312595074276447699e-04,1.048663195652134172e-01
7.575636406324197771e-04,5.128020606838257223e-03,7.349406955518781454e-04,1.048566348719561780e-01
7.627599333665353257e-04,5.264404460871174862e-03,7.387267407177269428e-04,1.048518273485457009e-01
7.680921318966745220e-04,5.399835338768088633e-03,7.426176381202116141e-04,1.048519329550172685e-01
7.735592926522391914e-04,5.534332038964473455e-03,7.466133878677465221e-04,1.048569878499058250e-01
7.791604908227193690e-04,5.667913281883540932e-03,7.507139950187585427e-04,1.048670283914605594e-01
7.848948202789222169e-04,5.800597710496013804e-03,7.549194696170036505e-04,1.048820911388679278e-01
7.907613934951958053e-04,5.932403890890558529e-03,7.592298267275206887e-04,1.049022128534647935e-01
7.967593414751795869e-04,6.063350312860427138e-03,7.636450864757312771e-04,1.049274305000114094e-01
8.028878136736028459e-04,6.193455390492319523e-03,7.681652740822078997e-04,1.049577812479220995e-01
8.091459779219771671e-04,6.322737462775895878e-03,7.727904199009337722e-04,1.049933024725370201e-01
8.155330203531742372e-04,6.451214794217063897e-03,7.775205594560515498e-04,1.050340317564029124e-01
8.220481453277770755e-04,6.578905575466365008e-03,7.823557334799660949e-04,1.050800068905605178e-01
8.286905753605362151e-04,6.705827923950025138e-03,7.872959879511332590e-04,1.051312658758336571e-01
8.354595510473696116e-04,6.831999884518324961e-03,7.923413741319591461e-04,1.051878469241603886e-01
8.423543309920377255e-04,6.957439430100409439e-03,7.974919486059403248e-04,1.052497884598998512e-01
8.493741917370173930e-04,7.082164462367757096e-03,8.027477733185484424e-04,1.053171291211780769e-01
8.565184276902731856e-04,7.206192812404532688e-03,8.081089156135666095e-04,1.053899077612311386e-01
8.637863510556502205e-04,7.329542241388375956e-03,8.135754482725809228e-04,1.054681634497651732e-01
8.711772917642190105e-04,7.452230441286955553e-03,8.191474495549536973e-04,1.055519354743333915e-01
8.786905974037509306e-04,7.574275035540534162e-03,8.248250032354582928e-04,1.056412633417208591e-01
8.863256331524815975e-04,7.695693579784945726e-03,8.306081986457129838e-04,1.057361867793349397e-01
8.940817817102531895e-04,7.816503562549481643e-03,8.364971307125098916e-04,1.058367457366352626e-01
9.019584432319249171e-04,7.936722405983864803e-03,8.424918999979160448e-04,1.059429803865317155e-01
9.099550352619758999e-04,8.056367466582115000e-03,8.485926127400702807e-04,1.060549311268483841e-01
